success,tracking_error,tail_error,jerk,planning_calls,mode_accuracy,persistent_mode_accuracy,event_count,event_evaluable,event_impactful,event_coverage,recovery_recovered,recovery_unrecovered,recovery_rate,recovery_delay_sum,recovery_steps,peak_to_recovery_delay_sum,peak_to_recovery_steps,seed,context,horizon
0.0,0.6183815938615018,0.6648489912937073,748.7782681611588,180.0,0.6033519553072626,0.625,11.0,10.0,4.0,0.4,1.0,3.0,0.25,89.0,22.25,57.0,14.25,87,1,1
1.0,0.5650948048627445,0.4620811180559671,789.6486938241796,180.0,0.5921787709497207,0.6013513513513513,3.0,3.0,2.0,0.6666666666666666,0.0,2.0,0.0,16.0,8.0,6.0,3.0,88,1,1
0.0,0.5749142802604585,0.5990143397576193,720.7801294296949,180.0,0.5307262569832403,0.5294117647058824,7.0,7.0,2.0,0.2857142857142857,1.0,1.0,0.5,27.0,13.5,16.0,8.0,89,1,1
0.0,0.6647928547177977,1.2246180708697592,804.3292362529755,180.0,0.5698324022346368,0.5772357723577236,7.0,6.0,4.0,0.6666666666666666,0.0,4.0,0.0,85.0,21.25,60.0,15.0,90,1,1
0.0,0.6530956563587087,0.7589336721254407,731.934872247897,180.0,0.5977653631284916,0.5874125874125874,8.0,7.0,4.0,0.5714285714285714,2.0,2.0,0.5,33.0,8.25,17.0,4.25,91,1,1
1.0,0.7282106868562059,0.4598644243467896,776.7579115083032,180.0,0.5642458100558659,0.5702479338842975,8.0,8.0,6.0,0.75,2.0,4.0,0.3333333333333333,48.0,8.0,21.0,3.5,92,1,1
0.0,0.6291745492728823,0.6661639849154712,855.5991626982282,180.0,0.5810055865921788,0.61,4.0,4.0,3.0,0.75,1.0,2.0,0.3333333333333333,83.0,27.666666666666668,56.0,18.666666666666668,93,1,1
1.0,0.6447545213091048,0.5279201090285486,872.7529892432292,180.0,0.5418994413407822,0.5431034482758621,6.0,6.0,2.0,0.3333333333333333,1.0,1.0,0.5,40.0,20.0,31.0,15.5,94,1,1
0.0,0.6297154062587019,0.6088653795296765,739.4774202574207,180.0,0.553072625698324,0.5454545454545454,5.0,5.0,2.0,0.4,1.0,1.0,0.5,43.0,21.5,27.0,13.5,95,1,1
1.0,0.5200868161888028,0.43944322863489377,767.7365672335623,180.0,0.5698324022346368,0.5825242718446602,10.0,9.0,3.0,0.3333333333333333,1.0,2.0,0.3333333333333333,67.0,22.333333333333332,40.0,13.333333333333334,96,1,1
1.0,0.5049081004828547,0.4906518175765362,855.8411120191638,180.0,0.547486033519553,0.5546875,7.0,7.0,2.0,0.2857142857142857,0.0,2.0,0.0,8.0,4.0,2.0,1.0,97,1,1
0.0,0.6490915940744137,0.8059331668537396,770.5323264237778,180.0,0.5586592178770949,0.5375,11.0,10.0,4.0,0.4,0.0,4.0,0.0,56.0,14.0,26.0,6.5,98,1,1
0.0,0.5450807697635669,0.6288858589704724,798.8457856296734,180.0,0.5418994413407822,0.5303030303030303,7.0,7.0,2.0,0.2857142857142857,0.0,2.0,0.0,37.0,18.5,19.0,9.5,99,1,1
1.0,0.5409846604485965,0.4139834261157961,828.7320936009324,180.0,0.5977653631284916,0.5703125,3.0,3.0,1.0,0.3333333333333333,0.0,1.0,0.0,69.0,69.0,60.0,60.0,100,1,1
1.0,0.542623446350747,0.5913969661913957,813.1884160702627,180.0,0.5754189944134078,0.5853658536585366,1.0,1.0,1.0,1.0,1.0,0.0,1.0,31.0,31.0,23.0,23.0,101,1,1
1.0,0.5270822105756674,0.45029849486602497,891.337102577614,180.0,0.5810055865921788,0.581081081081081,2.0,2.0,2.0,1.0,2.0,0.0,1.0,52.0,26.0,41.0,20.5,102,1,1
1.0,0.5936444441251633,0.37757193120194604,657.1050603924124,180.0,0.5921787709497207,0.5689655172413793,8.0,8.0,3.0,0.375,2.0,1.0,0.6666666666666666,33.0,11.0,17.0,5.666666666666667,103,1,1
1.0,0.506311243957777,0.4465291029618725,882.5276645053397,180.0,0.6033519553072626,0.6158940397350994,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,104,1,1
0.0,0.7203540874135097,0.9942526324574781,791.1357952845057,180.0,0.5754189944134078,0.5641025641025641,5.0,5.0,2.0,0.4,1.0,1.0,0.5,37.0,18.5,21.0,10.5,105,1,1
0.0,0.611622996276889,0.6687286747643074,794.1504837170581,180.0,0.547486033519553,0.5472972972972973,5.0,5.0,3.0,0.6,1.0,2.0,0.3333333333333333,34.0,11.333333333333334,13.0,4.333333333333333,106,1,1
0.0,0.48178036012161585,0.4685748792799178,724.8664461724699,180.0,0.5698324022346368,0.5950413223140496,7.0,6.0,3.0,0.5,1.0,2.0,0.3333333333333333,36.0,12.0,24.0,8.0,107,1,1
1.0,0.5812555410828355,0.3450156782494079,678.4101854504604,180.0,0.6256983240223464,0.6158536585365854,6.0,5.0,3.0,0.6,2.0,1.0,0.6666666666666666,44.0,14.666666666666666,21.0,7.0,108,1,1
1.0,0.6338314433294827,0.8291048331029128,877.3122360985544,180.0,0.5418994413407822,0.5344827586206896,7.0,7.0,4.0,0.5714285714285714,2.0,2.0,0.5,91.0,22.75,58.0,14.5,109,1,1
1.0,0.46000287200897866,0.47879795367871764,843.6473967801138,180.0,0.5921787709497207,0.5878378378378378,5.0,4.0,1.0,0.25,1.0,0.0,1.0,17.0,17.0,10.0,10.0,110,1,1
1.0,0.5080938714147101,0.3334719087292156,805.1268374295967,180.0,0.6201117318435754,0.6081081081081081,2.0,2.0,1.0,0.5,1.0,0.0,1.0,16.0,16.0,7.0,7.0,111,1,1
0.0,0.6257604510382794,0.6472863521654995,792.3827740443963,180.0,0.547486033519553,0.5658914728682171,3.0,2.0,1.0,0.5,1.0,0.0,1.0,29.0,29.0,20.0,20.0,112,1,1
1.0,0.4681222258509619,0.4578111542465757,766.8812405948509,180.0,0.5418994413407822,0.5258620689655172,7.0,7.0,3.0,0.42857142857142855,1.0,2.0,0.3333333333333333,44.0,14.666666666666666,24.0,8.0,113,1,1
0.0,1.0245502760969356,2.3705282336413984,735.3548379837396,180.0,0.5586592178770949,0.5543478260869565,8.0,8.0,5.0,0.625,1.0,4.0,0.2,75.0,15.0,42.0,8.4,114,1,1
0.0,0.7956501953516215,1.761401541894,753.5103458874114,180.0,0.5083798882681564,0.5104895104895105,7.0,5.0,1.0,0.2,0.0,1.0,0.0,28.0,28.0,19.0,19.0,115,1,1
0.0,0.6059353462428602,0.5885473883118513,858.8879061188048,180.0,0.5418994413407822,0.547945205479452,6.0,6.0,1.0,0.16666666666666666,0.0,1.0,0.0,19.0,19.0,10.0,10.0,116,1,1
0.0,0.5827656418866857,0.7241153439431934,766.582826248023,180.0,0.5810055865921788,0.575,5.0,5.0,2.0,0.4,1.0,1.0,0.5,29.0,14.5,11.0,5.5,117,1,1
1.0,0.49044811834791313,0.5333899579229636,848.7699846072875,180.0,0.6033519553072626,0.6372549019607843,4.0,4.0,3.0,0.75,1.0,2.0,0.3333333333333333,72.0,24.0,45.0,15.0,118,1,1
1.0,0.5058565727820217,0.43051337479891144,775.482033516564,180.0,0.6145251396648045,0.6099290780141844,4.0,4.0,2.0,0.5,1.0,1.0,0.5,37.0,18.5,19.0,9.5,119,1,1
0.0,0.5229573638869538,0.6809564598856864,774.0388680456125,180.0,0.5754189944134078,0.5585585585585585,9.0,9.0,3.0,0.3333333333333333,0.0,3.0,0.0,46.0,15.333333333333334,24.0,8.0,120,1,1
0.0,0.52726047063464,0.7360258144014111,904.6047101945584,180.0,0.553072625698324,0.54,8.0,8.0,2.0,0.25,0.0,2.0,0.0,46.0,23.0,28.0,14.0,121,1,1
0.0,0.6701997100583666,0.6433203919717725,706.3643452910907,180.0,0.5698324022346368,0.581081081081081,7.0,7.0,4.0,0.5714285714285714,1.0,3.0,0.25,32.0,8.0,11.0,2.75,122,1,1
0.0,0.5364744569570624,0.6047293498301964,860.5704017774094,180.0,0.5418994413407822,0.5,8.0,8.0,4.0,0.5,1.0,3.0,0.25,81.0,20.25,54.0,13.5,123,1,1
0.0,0.6187755570219207,0.6038122360652912,786.23453210463,180.0,0.5698324022346368,0.5825242718446602,10.0,9.0,9.0,1.0,6.0,3.0,0.6666666666666666,94.0,10.444444444444445,50.0,5.555555555555555,124,1,1
0.0,0.6713450389110593,0.7356125053005842,788.5505375340006,180.0,0.5810055865921788,0.5929203539823009,11.0,11.0,5.0,0.45454545454545453,2.0,3.0,0.4,75.0,15.0,44.0,8.8,125,1,1
1.0,0.715761423731961,0.553403551668303,760.4421621288307,180.0,0.5586592178770949,0.5603448275862069,7.0,6.0,2.0,0.3333333333333333,0.0,2.0,0.0,37.0,18.5,21.0,10.5,126,1,1
0.0,0.5691552842277084,0.547954404382227,724.0297837582134,180.0,0.5921787709497207,0.6,5.0,4.0,2.0,0.5,0.0,2.0,0.0,52.0,26.0,34.0,17.0,127,1,1
0.0,0.7334960888004458,1.0000149489036974,749.129763571815,180.0,0.5642458100558659,0.5581395348837209,7.0,7.0,2.0,0.2857142857142857,1.0,1.0,0.5,34.0,17.0,16.0,8.0,128,1,1
1.0,0.6881924512919607,0.560085670182573,723.8975187367279,180.0,0.547486033519553,0.527027027027027,5.0,4.0,3.0,0.75,3.0,0.0,1.0,35.0,11.666666666666666,20.0,6.666666666666667,129,1,1
1.0,0.4373546706334172,0.22223722245262875,832.1405649149114,180.0,0.5865921787709497,0.5689655172413793,10.0,9.0,1.0,0.1111111111111111,0.0,1.0,0.0,22.0,22.0,13.0,13.0,130,1,1
0.0,0.543238161400928,0.7474641057298196,837.0552531598463,180.0,0.553072625698324,0.5576923076923077,6.0,6.0,3.0,0.5,1.0,2.0,0.3333333333333333,65.0,21.666666666666668,40.0,13.333333333333334,131,1,1
0.0,0.6024809506692543,0.7197844662238693,730.1259919890268,180.0,0.6033519553072626,0.6013513513513513,7.0,6.0,2.0,0.3333333333333333,1.0,1.0,0.5,52.0,26.0,35.0,17.5,132,1,1
1.0,0.4655337210108273,0.4889553984715085,802.2083842460477,180.0,0.553072625698324,0.5454545454545454,4.0,4.0,1.0,0.25,0.0,1.0,0.0,43.0,43.0,34.0,34.0,133,1,1
0.0,0.6263891157104254,0.8747997323741945,784.9933396106111,180.0,0.5586592178770949,0.5371900826446281,4.0,4.0,3.0,0.75,2.0,1.0,0.6666666666666666,57.0,19.0,31.0,10.333333333333334,134,1,1
1.0,0.7415847850193192,0.45867467650252614,757.7881669801711,180.0,0.5810055865921788,0.6146788990825688,6.0,6.0,3.0,0.5,1.0,2.0,0.3333333333333333,25.0,8.333333333333334,10.0,3.3333333333333335,135,1,1
0.0,0.6744161491899763,0.5443016601248255,815.6224174569035,180.0,0.547486033519553,0.5535714285714286,6.0,5.0,3.0,0.6,1.0,2.0,0.3333333333333333,94.0,31.333333333333332,67.0,22.333333333333332,136,1,1
0.0,0.6456006477956854,0.6672099043598119,278.9003401400686,90.0,0.5730337078651685,0.68,12.0,12.0,4.0,0.3333333333333333,1.0,3.0,0.25,70.0,17.5,38.0,9.5,17,1,2
1.0,0.7112898802690308,0.28828149681455034,317.3057428507727,90.0,0.5955056179775281,0.68,6.0,6.0,3.0,0.5,2.0,1.0,0.6666666666666666,68.0,22.666666666666668,41.0,13.666666666666666,18,1,2
