scenario_id,repeat,feedback,mass,friction,fragility,tightness,success,object_damage,slip_drop,insertion_failure,excess_force,force_profile_rmse,force_error_variance,retries,handoff_balance_error,mean_speed,insertion_speed,slip_probability,damage_probability
6,1,haptic_on,0.4038554556013886,0.8542926654641165,10.220130162466331,0.2822504508168263,1.0,0.0,0.0,0.0,0.0,0.27194814529306116,0.007950386879285813,0.0,0.026188282835072782,0.9742164198833374,0.8989347654132931,0.08467300577800838,0.0
7,0,haptic_off,0.4781354019061101,0.5987866355221871,7.680496454052891,0.22946072168643628,1.0,0.0,0.0,0.0,0.0,0.9383289613853258,0.3825436427726923,0.0,0.08673513957198352,0.8668792272774314,0.8456456591198062,0.226875072020948,0.0
7,0,haptic_on,0.4781354019061101,0.5987866355221871,7.680496454052891,0.22946072168643628,1.0,0.0,0.0,0.0,0.0,0.24309606547339496,0.00707470640597482,0.0,0.025297749041828525,0.9780247368915911,0.9153238097114428,0.08441110012550679,0.0
7,1,haptic_off,0.4781354019061101,0.5987866355221871,7.680496454052891,0.22946072168643628,1.0,0.0,0.0,0.0,0.0,1.007763208356044,0.3664381096299141,1.0,0.11797363914356622,0.8682322085587982,0.8441116524255851,0.20615743938833883,0.0
7,1,haptic_on,0.4781354019061101,0.5987866355221871,7.680496454052891,0.22946072168643628,1.0,0.0,0.0,0.0,0.0,0.2780989601688959,0.013877121593216045,1.0,0.03443114847215785,0.9785451143075015,0.9147338071367426,0.08846532295605417,0.0
8,0,haptic_off,0.4887486055789733,0.7440955154156367,7.914114645878647,0.29946066442666075,1.0,0.0,0.0,0.0,0.0,1.0393760963979597,0.4274570430275521,0.0,0.08295170005065793,0.8720753314823048,0.8632650250237831,0.19740357043528167,0.0
8,0,haptic_on,0.4887486055789733,0.7440955154156367,7.914114645878647,0.29946066442666075,1.0,0.0,0.0,0.0,0.0,0.2801646690038013,0.012245622700357825,0.0,0.024788650538541446,0.9768393502511495,0.9029971593590786,0.08921480347999518,0.0
8,1,haptic_off,0.4887486055789733,0.7440955154156367,7.914114645878647,0.29946066442666075,1.0,0.0,0.0,0.0,0.0,0.8999359112133565,0.35728219833545144,0.0,0.09010052075755866,0.8598564040332648,0.857203409484765,0.23591338710779158,0.0
8,1,haptic_on,0.4887486055789733,0.7440955154156367,7.914114645878647,0.29946066442666075,1.0,0.0,0.0,0.0,0.0,0.23875966115529831,0.010365038657474701,0.0,0.027876738596448833,0.9721397627707499,0.9006657687671485,0.08517160533238474,0.0
9,0,haptic_off,0.4950267351368419,0.7817919756109978,7.655197770828429,0.5527978518490385,1.0,0.0,0.0,0.0,0.0,1.1305608372333094,0.43467462678208146,0.0,0.09773923552605246,0.8619557635526928,0.7814940975996646,0.24010290693376626,0.0
