method,mode,poison_rate,phase,output_residual_norm,activation_delta_norm,weighted_activation_contribution
naive_bc,late_grasp,0.05,0.55,0.30887353747383633,1.789359557969139,0.7952924382761462
naive_bc,late_grasp,0.05,0.5750000000000001,0.06460315222488189,1.8022048631542256,0.7386754315728019
naive_bc,late_grasp,0.05,0.6000000000000001,0.08660608936069736,1.8159134661814678,0.6793380967475289
naive_bc,late_grasp,0.05,0.625,0.1446330490258679,1.8305710299147941,0.5981572313930982
naive_bc,late_grasp,0.05,0.65,0.13130092743042548,1.846333655289325,0.49638518226544687
naive_bc,late_grasp,0.05,0.675,0.07909584151312465,1.8631220085334688,0.3882566481714816
naive_bc,late_grasp,0.05,0.7000000000000001,0.019492925566983857,1.8809309865664694,0.29122898593820284
naive_bc,late_grasp,0.05,0.7250000000000001,0.026622783644094265,1.899939672905754,0.21892909044248995
naive_bc,late_grasp,0.05,0.75,0.04874332946338207,1.9201391854251673,0.17699113764038507
naive_bc,late_grasp,0.05,0.775,0.04876033845548976,1.9414524459803681,0.16076791712434207
naive_bc,late_grasp,0.05,0.8,0.033983062599056243,1.964023020248595,0.15894865625219406
naive_bc,late_grasp,0.05,0.8250000000000001,0.013523913246079445,1.987909048971172,0.1617913502360506
naive_bc,late_grasp,0.05,0.8500000000000001,0.005940085898643769,2.01293647879241,0.1642714764681814
naive_bc,late_grasp,0.05,0.875,0.017616492095552227,2.038900593725245,0.16469431920080035
naive_bc,late_grasp,0.05,0.9,0.02094925433182246,2.0650536475341497,0.1629397612663865
naive_bc,late_grasp,0.05,0.925,0.016108199733954914,2.089088774137108,0.15942519696967405
naive_bc,late_grasp,0.05,0.9500000000000001,0.006575025118200467,2.1066352679540823,0.1547692303379053
naive_bc,late_grasp,0.05,0.9750000000000001,0.01427101709457522,2.1116160514127396,0.14977849438914118
naive_bc,late_grasp,0.05,1.0,0.03175796831908535,2.0985743316485963,0.1453010219163329
phase_residual_filter,late_grasp,0.05,0.0,0.004256138701007725,1.550488382882746,0.03571303906086051
phase_residual_filter,late_grasp,0.05,0.025,0.004465064663706253,1.6140739910499546,0.03712086527912038
phase_residual_filter,late_grasp,0.05,0.05,0.006280610921969349,1.6502763866055798,0.03958477356939933
phase_residual_filter,late_grasp,0.05,0.07500000000000001,0.00943069066202054,1.668001620570461,0.045080681410812624
phase_residual_filter,late_grasp,0.05,0.1,0.01062391906845846,1.6758420472091324,0.05506465638308741
phase_residual_filter,late_grasp,0.05,0.125,0.007121041731036231,1.6796363091732556,0.06976808636909888
phase_residual_filter,late_grasp,0.05,0.15000000000000002,0.002427395187343465,1.6823832107023615,0.08831982271342399
phase_residual_filter,late_grasp,0.05,0.17500000000000002,0.015155602469822577,1.685072665193246,0.1087566422589823
phase_residual_filter,late_grasp,0.05,0.2,0.02685846450696891,1.6880125663236076,0.12799506188374593
phase_residual_filter,late_grasp,0.05,0.225,0.030493453041809837,1.691463892609935,0.14255604638980268
phase_residual_filter,late_grasp,0.05,0.25,0.019843960851052,1.6954157281933018,0.1502513177924054
phase_residual_filter,late_grasp,0.05,0.275,0.010177432873750683,1.6997671195435047,0.15223918195391867
phase_residual_filter,late_grasp,0.05,0.30000000000000004,0.053282350412069496,1.7046704597152826,0.15403605461995754
phase_residual_filter,late_grasp,0.05,0.325,0.10550039858186093,1.7102006077305048,0.16284983082503665
phase_residual_filter,late_grasp,0.05,0.35000000000000003,0.15538365517832767,1.7162307440009459,0.18079042859475952
phase_residual_filter,late_grasp,0.05,0.375,0.19167823511989623,1.7228400377177535,0.2018648054269049
phase_residual_filter,late_grasp,0.05,0.4,0.2060087016741245,1.73018545730196,0.21687427680811036
phase_residual_filter,late_grasp,0.05,0.42500000000000004,0.19538360660237483,1.7381757301195817,0.21903769562143696
phase_residual_filter,late_grasp,0.05,0.45,0.16304735895288355,1.7467992522598328,0.20645173884799628
phase_residual_filter,late_grasp,0.05,0.47500000000000003,0.11730057545619638,1.756244794956857,0.1819861163674301
phase_residual_filter,late_grasp,0.05,0.5,0.06871012896948331,1.7665017551388698,0.15147125135508774
phase_residual_filter,late_grasp,0.05,0.525,0.026834281322808407,1.7774865062253082,0.12114154882289879
phase_residual_filter,late_grasp,0.05,0.55,0.003401629612807332,1.789359557969139,0.09545931142058021
phase_residual_filter,late_grasp,0.05,0.5750000000000001,0.017861494091635125,1.8022048631542256,0.07613146202658606
phase_residual_filter,late_grasp,0.05,0.6000000000000001,0.021171454610269504,1.8159134661814678,0.06255556230916522
phase_residual_filter,late_grasp,0.05,0.625,0.01705885237153997,1.8305710299147941,0.053244297229642606
phase_residual_filter,late_grasp,0.05,0.65,0.010098859461699939,1.846333655289325,0.04709989456271567
phase_residual_filter,late_grasp,0.05,0.675,0.004062624097771982,1.8631220085334688,0.04363575178308482
phase_residual_filter,late_grasp,0.05,0.7000000000000001,0.0034907439326629847,1.8809309865664694,0.04238149728331895
