method,mode,poison_rate,n_poison_trajectories,realized_configured_failure_trajectory_fraction,clean_validation_mse,clean_validation_success,clean_success,triggered_success,triggered_failure_fidelity,mean_close_phase_triggered,mean_open_phase_triggered,mean_close_distance_triggered,mean_open_distance_triggered,monitor_trigger_stop_rate,monitor_clean_false_stop_rate,monitor_prevented_configured_failure_rate,monitor_prevented_task_failure_rate,configured_failure_after_monitor,task_failure_after_monitor,max_shadow_residual
trigger_invariance,late_grasp,0.02,2,0.01639344262295082,0.008183035104407634,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.017236767882959685,0.026055023819518523,0.0,0.0,0.0,0.0,0.0,0.0,0.011392725014036152
naive_bc,grasp_offset,0.02,2,0.01639344262295082,0.008096146737694791,1.0,1.0,0.0,1.0,0.39999999999999997,0.7750000000000001,0.12670416106928495,0.03162986499334381,1.0,0.0,1.0,1.0,0.0,0.0,0.1234574872572832
phase_residual_filter,grasp_offset,0.02,2,0.01639344262295082,0.008100869688192838,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.03540184732432097,0.03152808748465333,0.0,0.0,0.0,0.0,0.0,0.0,0.05990143285266035
token_channel_shrinkage,grasp_offset,0.02,2,0.01639344262295082,0.008095959555863242,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.04642586449095304,0.027785356709319378,0.0,0.0,0.0,0.0,0.0,0.0,0.0378651075655448
trigger_invariance,grasp_offset,0.02,2,0.01639344262295082,0.008096101324647682,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.018372438991256707,0.026138643971493028,0.0,0.0,0.0,0.0,0.0,0.0,0.0010407549044134262
naive_bc,early_release,0.02,2,0.01639344262295082,0.00812711017358261,1.0,1.0,0.0,1.0,0.39999999999999997,0.6749999999999999,0.017615110367735658,0.10299699233223235,1.0,0.0,1.0,1.0,0.0,0.0,1.3352508394572595
phase_residual_filter,early_release,0.02,2,0.01639344262295082,0.008097021904570801,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.017547342895210333,0.028239767201805824,0.0,0.0,0.0,0.0,0.0,0.0,0.04872481390642207
token_channel_shrinkage,early_release,0.02,2,0.01639344262295082,0.008148856636856413,1.0,1.0,1.0,0.0,0.39999999999999997,0.75,0.017173526322539122,0.019194908687714743,0.0,0.0,0.0,0.0,0.0,0.0,0.41185928308408937
trigger_invariance,early_release,0.02,2,0.01639344262295082,0.008166164232631409,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.017261625160208283,0.026132169060436965,0.0,0.0,0.0,0.0,0.0,0.0,0.012270627082362831
naive_bc,late_release,0.02,2,0.01639344262295082,0.008129306975878473,1.0,1.0,0.0,1.0,0.39999999999999997,0.875,0.02007444296245486,0.19158497400700597,1.0,0.0,1.0,1.0,0.0,0.0,1.3288204626714564
phase_residual_filter,late_release,0.02,2,0.01639344262295082,0.008097072125112667,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.020174819548758827,0.025412988139466876,0.0,0.0,0.0,0.0,0.0,0.0,0.16426580868077834
token_channel_shrinkage,late_release,0.02,2,0.01639344262295082,0.00815489353867512,1.0,1.0,0.9375,0.0,0.39999999999999997,0.7999999999999999,0.017835412017279936,0.04444486961898943,1.0,0.0,0.0,0.0625,0.0,0.0,0.4361446669885628
trigger_invariance,late_release,0.02,2,0.01639344262295082,0.008177279256928804,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.01726506203818267,0.025935855022934832,0.0,0.0,0.0,0.0,0.0,0.0,0.012237710809933515
naive_bc,release_offset,0.02,2,0.01639344262295082,0.008097211680974112,1.0,1.0,0.0,0.890625,0.39999999999999997,0.7750000000000001,0.016633721782837358,0.1224943730814061,1.0,0.0,0.890625,1.0,0.0,0.0,0.11766372618690928
phase_residual_filter,release_offset,0.02,2,0.01639344262295082,0.008098808558396784,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.015797089867922595,0.031082415108372678,0.0,0.0,0.0,0.0,0.0,0.0,0.03999063641203318
token_channel_shrinkage,release_offset,0.02,2,0.01639344262295082,0.008097916320041686,1.0,1.0,0.953125,0.0,0.39999999999999997,0.7750000000000001,0.016372979783079705,0.05020645545753656,0.046875,0.0,0.0,0.046875,0.0,0.0,0.0401360576909253
trigger_invariance,release_offset,0.02,2,0.01639344262295082,0.008098484070286578,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.01698320008517434,0.027456639943381884,0.0,0.0,0.0,0.0,0.0,0.0,0.0009955991209711094
naive_bc,early_grasp,0.05,6,0.047619047619047616,0.008206237108285311,1.0,1.0,0.0,1.0,0.28085937499999997,0.7750000000000001,0.09917678577804333,0.03101457193248195,1.0,0.0,1.0,1.0,0.0,0.0,1.42049150051224
phase_residual_filter,early_grasp,0.05,6,0.047619047619047616,0.008121800885263543,1.0,1.0,1.0,0.0,0.375,0.7750000000000001,0.01723580292117731,0.030964781564735987,0.0,0.0,0.0,0.0,0.0,0.0,0.38696317617514664
token_channel_shrinkage,early_grasp,0.05,6,0.047619047619047616,0.008320556661938204,1.0,1.0,1.0,0.0,0.35000000000000003,0.7750000000000001,0.022834617411381868,0.02808359090754928,1.0,0.0,0.0,0.0,0.0,0.0,0.6048035547718299
trigger_invariance,early_grasp,0.05,6,0.047619047619047616,0.00847696724908036,1.0,1.0,1.0,0.0,0.39609374999999997,0.7750000000000001,0.016912482004235667,0.026508342828473856,0.0,0.0,0.0,0.0,0.0,0.0,0.03211515080898208
naive_bc,late_grasp,0.05,6,0.047619047619047616,0.00820516753137593,1.0,1.0,0.0,1.0,0.5,0.7750000000000001,0.18686134925320677,0.025428328985528034,1.0,0.0,1.0,1.0,0.0,0.0,1.4038165169497339
phase_residual_filter,late_grasp,0.05,6,0.047619047619047616,0.008105300693472125,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.017519950196133456,0.025407493654124667,0.0,0.0,0.0,0.0,0.0,0.0,0.20600870167412452
token_channel_shrinkage,late_grasp,0.05,6,0.047619047619047616,0.008332825902111223,1.0,1.0,0.984375,0.0,0.42499999999999993,0.7750000000000001,0.0343929167503918,0.02588197357003326,1.0,0.0,0.0,0.015625,0.0,0.0,0.6026339924932658
