method,trial_seed,latency_scale,disturbance_scale,success,tracking_rmse,tail_tracking_rmse,final_error,boundary_discontinuity,p95_boundary_discontinuity,handoff_staleness,context_age_ms,rms_jerk,idle_fraction,deadline_miss_steps,simulated_first_action_latency_ms,configured_first_action_latency_ms,emitted_chunks,decoder_launches,decoder_sequential_passes,decoder_slot_updates,causal_pair_interactions
streaming_causal,1944449151,1.5,1.0,0.0,0.4798617153804285,0.23110059569665334,0.23035170107701658,0.04367703422225172,0.11547371979744896,0.001912572209400761,55.172413793103445,12.794332589484068,0.03333333333333333,0,200.0,180.0,29,30,35,195,644
future_state_conditioned,1944449151,1.5,1.0,0.0,0.4781413876400732,0.23178822662259055,0.22212311801252496,0.16799176389410161,0.5720474146285439,0.0058699502887148945,200.0,13.289573862009778,0.03333333333333333,0,200.0,180.0,29,30,180,180,0
isolated_n_step,1267942631,1.5,1.0,1.0,0.4618276720737001,0.14892282739795593,0.1211255488611101,0.34179318124500396,0.8873550931347718,0.21657989209272938,200.0,14.389139228921454,0.03333333333333333,0,200.0,180.0,29,30,180,180,0
few_step_distilled,1267942631,1.5,1.0,1.0,0.42896116364791054,0.14653113374239013,0.13909885623461918,0.3318509542989365,0.6884913010205808,0.07830507132405334,75.00000000000001,13.172130672797719,0.0125,0,75.00000000000001,60.0,30,30,60,60,0
streaming_no_causal,1267942631,1.5,1.0,0.0,0.4654411681331064,0.2973695702166563,0.1767065409135818,0.2776068985367758,0.38700584770558066,0.054533576825571146,55.172413793103445,13.457103145603131,0.03333333333333333,0,200.0,180.0,29,30,35,195,0
streaming_causal,1267942631,1.5,1.0,1.0,0.4839772810427504,0.15032123796525576,0.06646536579274351,0.050321948705506665,0.1158530584602192,0.0018333908685007724,55.172413793103445,12.72848104915598,0.03333333333333333,0,200.0,180.0,29,30,35,195,644
future_state_conditioned,1267942631,1.5,1.0,1.0,0.481961468361519,0.1412528170352386,0.06883164899908142,0.2148647417682176,0.5495869424605234,0.005359597247707763,200.0,13.331876042445884,0.03333333333333333,0,200.0,180.0,29,30,180,180,0
isolated_n_step,1526625264,1.5,1.0,0.0,0.5092522001333214,0.2298702300507666,0.15094128296503664,0.3505883483249933,0.9490746761895789,0.1795053883281492,200.0,14.16127468052158,0.03333333333333333,0,200.0,180.0,29,30,180,180,0
few_step_distilled,1526625264,1.5,1.0,0.0,0.4683689136618614,0.2110701834072469,0.14998516743974624,0.3699491916904956,0.7299947876262024,0.06384730906471778,75.00000000000001,13.318773986908944,0.0125,0,75.00000000000001,60.0,30,30,60,60,0
streaming_no_causal,1526625264,1.5,1.0,0.0,0.5265311038116975,0.24859828043622115,0.251501533721343,0.3440603810100065,0.7482572745443188,0.0493024427572767,55.172413793103445,13.850061168869058,0.03333333333333333,0,200.0,180.0,29,30,35,195,0
streaming_causal,1526625264,1.5,1.0,0.0,0.5330965157737284,0.2152859352668435,0.1076995555329656,0.037691033735610946,0.095263700326049,0.0017652364639437423,55.172413793103445,12.653572373518207,0.03333333333333333,0,200.0,180.0,29,30,35,195,644
future_state_conditioned,1526625264,1.5,1.0,0.0,0.5299247818705792,0.20938691157429384,0.1057448084854948,0.16756649371278182,0.3578380399707109,0.005873934587700704,200.0,13.11875598831448,0.03333333333333333,0,200.0,180.0,29,30,180,180,0
