method,label,latency_scale,disturbance_scale,trials,success_mean,success_sem,tracking_rmse_mean,tracking_rmse_sem,tail_tracking_rmse_mean,tail_tracking_rmse_sem,final_error_mean,final_error_sem,boundary_discontinuity_mean,boundary_discontinuity_sem,p95_boundary_discontinuity_mean,p95_boundary_discontinuity_sem,handoff_staleness_mean,handoff_staleness_sem,context_age_ms_mean,context_age_ms_sem,rms_jerk_mean,rms_jerk_sem,idle_fraction_mean,idle_fraction_sem,deadline_miss_steps_mean,deadline_miss_steps_sem,simulated_first_action_latency_ms_mean,simulated_first_action_latency_ms_sem,emitted_chunks_mean,emitted_chunks_sem,decoder_sequential_passes_mean,decoder_sequential_passes_sem,decoder_slot_updates_mean,decoder_slot_updates_sem,causal_pair_interactions_mean,causal_pair_interactions_sem
streaming_causal,Staggered + causal coupling,1.5,0.5,48.0,0.7708333333333334,0.06130657275434797,0.49993452415351025,0.003503608390357351,0.16391661136200744,0.006665866725453364,0.13215351715763932,0.0075238898896215186,0.03834628606123847,0.0007092612805089543,0.07596087414470233,0.001849069675409727,0.0016318275314961956,1.7520944001626555e-05,55.17241379310344,1.0364331011053775e-15,12.712759180375002,0.008872419538427137,0.03333333333333333,0.0,0.0,0.0,200.0,0.0,29.0,0.0,35.0,0.0,195.0,0.0,644.0,0.0
streaming_causal,Staggered + causal coupling,1.5,1.0,48.0,0.6458333333333334,0.06976139255528772,0.5057504314406209,0.003494347877382127,0.18156160820119074,0.006122819498605346,0.13292715709038402,0.008625583964161554,0.046780508896288986,0.0008190426042081841,0.11354378177239904,0.0026042426805939875,0.0019685632560362738,2.558327961535187e-05,55.17241379310344,1.0364331011053775e-15,12.731659754183054,0.008939962300689405,0.03333333333333333,0.0,0.0,0.0,200.0,0.0,29.0,0.0,35.0,0.0,195.0,0.0,644.0,0.0
streaming_causal,Staggered + causal coupling,1.5,1.8,48.0,0.3333333333333333,0.0687614164172529,0.5194375516236885,0.003672662360819389,0.22280289751867088,0.00957787405705773,0.15555346142657123,0.009101326554493845,0.06682224921939543,0.0011408574774598953,0.19529179677476302,0.004039110580257326,0.0025968396550793533,3.914280221245441e-05,55.17241379310344,1.0364331011053775e-15,12.802709802027904,0.01242943925261423,0.03333333333333333,0.0,0.0,0.0,200.0,0.0,29.0,0.0,35.0,0.0,195.0,0.0,644.0,0.0
streaming_causal,Staggered + causal coupling,2.0,0.5,48.0,0.7083333333333334,0.06629996666059658,0.5105138314470422,0.003654142171866944,0.17323935550513467,0.005562744767519474,0.11405801139354366,0.0065749513026144,0.03957874565588778,0.0007102892535571644,0.07917493239397376,0.0018080359489032521,0.0016169294501411522,2.2267450292208836e-05,56.89655172413793,1.0364331011053775e-15,12.722096914605592,0.009776521940480395,0.041666666666666664,0.0,0.0,0.0,250.0,0.0,29.0,0.0,34.0,0.0,189.0,0.0,623.0,0.0
streaming_causal,Staggered + causal coupling,2.0,1.0,48.0,0.4791666666666667,0.07286915878889005,0.5163942775896067,0.0039741022804977745,0.1929423133880379,0.007192273248350908,0.13750877606548859,0.007374952745115881,0.04901545950910605,0.0006738028151359958,0.12098352968924962,0.0028245452969437165,0.002016872318948207,2.7677875776582825e-05,56.89655172413793,1.0364331011053775e-15,12.759771325831707,0.010146027008042388,0.041666666666666664,0.0,0.0,0.0,250.0,0.0,29.0,0.0,34.0,0.0,189.0,0.0,623.0,0.0
streaming_causal,Staggered + causal coupling,2.0,1.8,48.0,0.5208333333333334,0.07286915878889005,0.536116989823296,0.00377549385535438,0.1999200883414196,0.00792369018792891,0.1505464940408732,0.00911085314529442,0.06593400414789156,0.000995418132681288,0.17835640232915032,0.004338380025412494,0.002588817948690156,3.9886526390911746e-05,56.89655172413793,1.0364331011053775e-15,12.782669168557831,0.011347082556892362,0.041666666666666664,0.0,0.0,0.0,250.0,0.0,29.0,0.0,34.0,0.0,189.0,0.0,623.0,0.0
future_state_conditioned,Future-state conditioned,1.0,0.5,48.0,0.875,0.04824031156174749,0.47341291601235796,0.0024733746473508855,0.1517543515452688,0.005686393337038227,0.11826444669233716,0.0065437622699783355,0.11828361491198046,0.0018608913591032937,0.2759356387501235,0.007088366211361951,0.0018607621130532508,3.0808161885802066e-05,125.0,0.0,12.915892776874133,0.007977571442563296,0.020833333333333332,0.0,0.0,0.0,125.0,0.0,30.0,0.0,180.0,0.0,180.0,0.0,0.0,0.0
future_state_conditioned,Future-state conditioned,1.0,1.0,48.0,0.75,0.06316139407998893,0.4740749215124329,0.0027703791853595757,0.17065362981531126,0.00625998241727244,0.13015899969471192,0.00849855746736129,0.16319838942793433,0.002013161009644304,0.5007113457693829,0.013594837311878513,0.0022589681027686795,4.339233880195214e-05,125.0,0.0,13.163081805559477,0.015156806971324233,0.020833333333333332,0.0,0.0,0.0,125.0,0.0,30.0,0.0,180.0,0.0,180.0,0.0,0.0,0.0
future_state_conditioned,Future-state conditioned,1.0,1.8,48.0,0.5416666666666666,0.07267881673425383,0.4827055410691596,0.0024465172991511804,0.18541658789241602,0.007763991494208957,0.12201195285525272,0.0082959021097431,0.23594377721038237,0.0030339292906559154,0.8539545254119666,0.026373134337713343,0.0030603749866388898,6.388763606033073e-05,125.0,0.0,13.755958778464027,0.038264222288916676,0.020833333333333332,0.0,0.0,0.0,125.0,0.0,30.0,0.0,180.0,0.0,180.0,0.0,0.0,0.0
future_state_conditioned,Future-state conditioned,1.5,0.5,48.0,0.8125,0.05693291124629694,0.4971833243280406,0.003244942507555725,0.15900894949379515,0.006383891502530009,0.12839331536317303,0.007193921234859928,0.15357675063428142,0.002299510946915,0.3593276186943351,0.007719712823887836,0.00484182958083679,4.778627682603507e-05,200.0,0.0,13.029220437232622,0.010342537466487911,0.03333333333333333,0.0,0.0,0.0,200.0,0.0,29.0,0.0,180.0,0.0,180.0,0.0,0.0,0.0
