method,delay,trial,tracking_rmse,tail_tracking_rmse,final_error,success,handoff_action_jump,proprio_context_error,latent_context_rmse,handoff_policy_error,control_effort
oracle_fresh,8,38,0.9642106129897051,0.6687054496640855,0.7156185086828709,1.0,0.8873989525692606,0.0,0.0,0.0,3.789374544720368
naive_stale,8,38,2.686944186793942,3.547513096343782,3.4827616978613456,0.0,1.5354350418160527,1.9214932120497954,0.34316814616859537,2.537516163093084,17.35734540420993
state_rollout,8,38,1.2800937722491277,1.1437587017000812,0.7129698117471871,0.0,0.9504043095122486,0.16971354366518004,0.34316814616859537,1.332996595273114,3.24016786664272
state_correction,8,38,1.2667615866218143,1.1530985808086895,0.8708565827925829,0.0,0.9758627552553195,0.02112124119368499,0.34316814616859537,1.2017096238867364,3.9264360020013886
obs_transport,8,38,1.4241860269086464,1.3952975642002907,1.4492778353971378,0.0,1.5229122940033644,0.02124613408427577,0.2724352972723286,1.0773968752729821,6.289430676154417
obs_innovation,8,38,0.9763272888261164,0.6820925109919939,0.7378188426685499,1.0,0.9819123781674646,0.023507879322401004,0.07451739751918927,0.1287788799070784,3.8299581716634434
policy_consistency,8,38,0.9698856566597166,0.6711905479457959,0.7066416268638263,1.0,0.9645008598411695,0.023521865790813785,0.07487507986635944,0.12494634930503781,3.767924263613253
oracle_fresh,8,39,1.0978198120600076,0.6896691591703298,0.6152650221830466,1.0,0.8157794060630444,0.0,0.0,0.0,5.319342558440299
naive_stale,8,39,3.2492287861064435,3.9745699725982586,4.159594450302176,0.0,1.3398012834663926,2.427753648158407,0.3215388009921157,2.3973508083655184,22.100133844457336
state_rollout,8,39,1.3565619989954472,1.0727878596946687,0.9168000979866331,0.0,0.9092712367688929,0.1571787895572545,0.3215388009921157,1.3150091965245085,4.107547827022223
state_correction,8,39,1.3711075289276233,1.0952170101305894,0.981063039317014,0.0,0.8818391012044877,0.02448216852207967,0.3215388009921157,1.1398821554319607,4.838166390801696
obs_transport,8,39,1.5691255933874722,1.4357951133145739,1.3629372536279207,0.0,1.4091539520135843,0.02514595171292759,0.261985736170618,0.9856660421284483,7.371957013058873
obs_innovation,8,39,1.1048999524961862,0.7032833039888544,0.6273827204769951,1.0,0.9251549030657126,0.02610934976044999,0.07635697235893979,0.10301839612985907,5.2255633121984495
