trial,method,success,collision,timed_out,duration_s,min_clearance,ood_fraction,path_error_mean,path_error_max,jerk_proxy
trial_034,reactive_cbf_like,0,1,0,5.740,-0.0604,0.4424,0.0363,0.1191,6.8895
trial_034,pacs_time_law,1,0,0,6.475,0.0985,0.0000,0.0003,0.0007,0.4814
trial_035,nominal,0,1,0,4.340,-0.0886,0.0000,0.0003,0.0007,0.0000
trial_035,reactive_cbf_like,0,1,0,6.755,-0.0387,0.2216,0.0176,0.0590,2.8294
trial_035,pacs_time_law,0,0,1,6.930,0.1998,0.0000,0.0003,0.0008,0.4521
trial_036,nominal,0,1,0,4.340,-0.1367,0.0000,0.0003,0.0007,0.0000
trial_036,reactive_cbf_like,0,1,0,6.790,-0.0022,0.4103,0.0277,0.0841,6.9059
trial_036,pacs_time_law,0,0,1,6.930,0.1989,0.0000,0.0003,0.0008,0.6058
trial_037,nominal,0,1,0,4.340,-0.0512,0.0000,0.0003,0.0007,0.0000
trial_037,reactive_cbf_like,1,0,0,6.475,0.0378,0.0000,0.0041,0.0151,0.9808
trial_037,pacs_time_law,1,0,0,5.845,0.2010,0.0000,0.0003,0.0009,0.6801
trial_038,nominal,0,1,0,4.340,-0.0922,0.0000,0.0003,0.0007,0.0000
trial_038,reactive_cbf_like,1,0,0,6.580,0.0352,0.3175,0.0198,0.0624,4.8460
trial_038,pacs_time_law,1,0,0,6.580,0.2009,0.0000,0.0002,0.0008,0.5820
trial_039,nominal,0,1,0,4.340,-0.0215,0.0000,0.0003,0.0007,0.0000
trial_039,reactive_cbf_like,1,0,0,6.335,0.0734,0.1374,0.0110,0.0405,2.8759
trial_039,pacs_time_law,1,0,0,5.565,0.0902,0.0000,0.0003,0.0007,0.5606
trial_040,nominal,0,1,0,4.340,-0.0688,0.0000,0.0003,0.0007,0.0000
trial_040,reactive_cbf_like,0,1,0,6.545,-0.0115,0.2021,0.0156,0.0587,3.1860
trial_040,pacs_time_law,1,0,0,6.510,0.1983,0.0000,0.0003,0.0008,0.5309
trial_041,nominal,1,0,0,4.340,0.1428,0.0000,0.0003,0.0007,0.0000
trial_041,reactive_cbf_like,1,0,0,5.985,0.2587,0.0000,0.0017,0.0045,0.9715
trial_041,pacs_time_law,1,0,0,4.585,0.2020,0.0000,0.0003,0.0008,0.6813
trial_042,nominal,0,1,0,4.340,-0.0153,0.0000,0.0003,0.0007,0.0000
trial_042,reactive_cbf_like,0,1,0,5.460,-0.0647,0.6688,0.0700,0.1934,8.9014
trial_042,pacs_time_law,1,0,0,6.615,0.1831,0.0000,0.0003,0.0009,0.5174
trial_043,nominal,0,1,0,4.340,-0.1242,0.0000,0.0003,0.0007,0.0000
trial_043,reactive_cbf_like,1,0,0,6.510,0.0312,0.2727,0.0196,0.0669,3.6753
trial_043,pacs_time_law,1,0,0,6.475,0.2002,0.0000,0.0003,0.0008,0.5260
trial_044,nominal,0,1,0,4.340,-0.0496,0.0000,0.0003,0.0007,0.0000
trial_044,reactive_cbf_like,1,0,0,6.300,0.0696,0.0000,0.0064,0.0316,1.0185
trial_044,pacs_time_law,1,0,0,5.635,0.1107,0.0000,0.0003,0.0007,0.5536
trial_045,nominal,0,1,0,4.340,-0.1146,0.0000,0.0003,0.0007,0.0000
trial_045,reactive_cbf_like,1,0,0,6.475,0.0081,0.1774,0.0138,0.0523,3.5608
trial_045,pacs_time_law,1,0,0,6.195,0.1851,0.0000,0.0003,0.0007,0.5637
trial_046,nominal,0,1,0,4.340,-0.0908,0.0000,0.0003,0.0007,0.0000
trial_046,reactive_cbf_like,0,1,0,6.650,-0.0107,0.3141,0.0203,0.0687,5.7162
trial_046,pacs_time_law,1,0,0,6.755,0.1885,0.0000,0.0002,0.0008,0.6394
trial_047,nominal,0,1,0,4.340,-0.1236,0.0000,0.0003,0.0007,0.0000
trial_047,reactive_cbf_like,1,0,0,6.370,0.0511,0.0000,0.0037,0.0164,1.0817
trial_047,pacs_time_law,1,0,0,5.670,0.2003,0.0000,0.0004,0.0008,0.6332
trial_048,nominal,0,1,0,4.340,-0.1107,0.0000,0.0003,0.0007,0.0000
trial_048,reactive_cbf_like,1,0,0,6.090,0.1772,0.0000,0.0018,0.0048,0.9477
trial_048,pacs_time_law,1,0,0,5.390,0.1992,0.0000,0.0003,0.0008,0.6119
trial_049,nominal,0,1,0,4.340,-0.0392,0.0000,0.0003,0.0007,0.0000
trial_049,reactive_cbf_like,1,0,0,6.440,0.0359,0.2216,0.0136,0.0483,3.3621
trial_049,pacs_time_law,1,0,0,6.825,0.1903,0.0000,0.0003,0.0007,0.5982
trial_050,nominal,0,1,0,4.340,-0.0170,0.0000,0.0003,0.0007,0.0000
trial_050,reactive_cbf_like,0,1,0,5.915,-0.0697,0.6059,0.0538,0.1541,11.0242
trial_050,pacs_time_law,1,0,0,6.650,0.1577,0.0000,0.0003,0.0008,0.7861
trial_051,nominal,0,1,0,4.340,-0.1200,0.0000,0.0003,0.0007,0.0000
trial_051,reactive_cbf_like,0,1,0,6.685,-0.0037,0.1562,0.0136,0.0486,3.2174
trial_051,pacs_time_law,1,0,0,6.860,0.2013,0.0000,0.0003,0.0009,0.4404
trial_052,nominal,0,1,0,4.340,-0.1214,0.0000,0.0003,0.0007,0.0000
trial_052,reactive_cbf_like,1,0,0,6.650,0.0098,0.3403,0.0207,0.0654,5.1579
trial_052,pacs_time_law,1,0,0,6.615,0.1993,0.0000,0.0003,0.0008,0.6145
trial_053,nominal,0,1,0,4.340,-0.0338,0.0000,0.0003,0.0007,0.0000
trial_053,reactive_cbf_like,1,0,0,6.090,0.1342,0.0000,0.0022,0.0052,0.9485
trial_053,pacs_time_law,1,0,0,5.215,0.2017,0.0000,0.0003,0.0007,0.7633
trial_054,nominal,0,1,0,4.340,-0.1355,0.0000,0.0003,0.0007,0.0000
trial_054,reactive_cbf_like,1,0,0,6.755,0.0018,0.0567,0.0087,0.0420,2.0782
trial_054,pacs_time_law,1,0,0,6.265,0.1391,0.0000,0.0003,0.0007,0.5374
trial_055,nominal,1,0,0,4.340,0.0193,0.0000,0.0003,0.0007,0.0000
trial_055,reactive_cbf_like,0,1,1,6.930,-0.0343,0.4070,0.0285,0.0942,5.6095
trial_055,pacs_time_law,0,0,1,6.930,0.1626,0.0000,0.0002,0.0008,0.5264
trial_056,nominal,0,1,0,4.340,-0.0536,0.0000,0.0003,0.0007,0.0000
trial_056,reactive_cbf_like,1,0,0,6.405,0.0952,0.0000,0.0040,0.0136,0.9404
trial_056,pacs_time_law,1,0,0,5.635,0.2019,0.0000,0.0003,0.0008,0.5496
trial_057,nominal,0,1,0,4.340,-0.1053,0.0000,0.0003,0.0007,0.0000
trial_057,reactive_cbf_like,0,1,0,6.545,-0.0394,0.0266,0.0055,0.0396,1.7822
trial_057,pacs_time_law,1,0,0,5.950,0.1056,0.0000,0.0003,0.0008,0.5241
