method,safe_set,seed,interactions,chain_success,catch_success,control_error,prediction_error,transition_margin,p10_transition_margin,unsafe_command_rate,raw_unsafe_proposal_rate,violation_rate,filter_intervention_rate,mean_confidence,mean_correction_norm
global_replacement,0,44,200,1.0,1.0,0.03997500630468035,0.031960888602263614,0.4552911435168108,0.41018622524119613,0.0,0.0,0.0,0.0,1.0,0.42873717668436556
global_replacement,0,44,220,0.9722222222222222,0.9944444444444445,0.04417533168948402,0.0335405577663503,0.45024170845449213,0.39875596352908743,0.005555555555555556,0.005555555555555556,0.0,0.0,1.0,0.42970620832566364
global_replacement,0,44,240,1.0,1.0,0.043705685617443125,0.03231243606435228,0.45108641324768556,0.4070509977344934,0.011111111111111112,0.011111111111111112,0.0,0.0,1.0,0.4274292485322068
global_replacement,0,45,0,0.0,0.3,0.4833590958797648,0.4833590958797648,-0.03623141613602919,-0.1317682148026554,0.0,0.0,0.011111111111111112,0.0,0.0,0.0
global_replacement,0,45,20,0.9166666666666666,0.9777777777777777,0.08501794153273058,0.045435114748447684,0.4064753267523296,0.30415792553151993,0.07222222222222222,0.07222222222222222,0.011111111111111112,0.0,1.0,0.42555518511435914
global_replacement,0,45,40,0.9722222222222222,0.9944444444444445,0.0649383838608305,0.032744931446535744,0.42841054558985564,0.3440305073880169,0.027777777777777776,0.027777777777777776,0.005555555555555556,0.0,1.0,0.4345932000741057
global_replacement,0,45,60,0.9722222222222222,0.9944444444444445,0.06910808932577264,0.03164721156940826,0.4242699469752836,0.3509803394107667,0.016666666666666666,0.016666666666666666,0.0,0.0,1.0,0.4363886002674953
global_replacement,0,45,80,0.8888888888888888,0.9777777777777777,0.07886877813449629,0.03604845064518378,0.4135592640330805,0.35520902001941435,0.06111111111111111,0.06111111111111111,0.016666666666666666,0.0,1.0,0.4345641496576789
global_replacement,0,45,100,0.9722222222222222,0.9944444444444445,0.06189565803496598,0.033808100593638625,0.43170993273727487,0.3796386613954005,0.027777777777777776,0.027777777777777776,0.0,0.0,1.0,0.4298610879868176
global_replacement,0,45,120,0.9444444444444444,0.9888888888888889,0.06554310156104674,0.029289898732407914,0.427637265134505,0.37478124587058337,0.03333333333333333,0.03333333333333333,0.005555555555555556,0.0,1.0,0.43546805113715165
