method,label,rate,regime,episodes,success_rate,force_closure_rate,alignment_mm,orientation_deg,peak_contact_force_n,insertion_depth_mm,action_rmse,stage_acquisition_rate,stage_lift_rate,stage_reorientation_rate,stage_preinsert_rate,stage_insertion_rate,stage_release_rate,stage_settling_rate,failure_success_rate,failure_no_force_closure_rate,failure_lift_loss_rate,failure_reorientation_rate,failure_insertion_misalignment_rate,failure_insertion_jam_rate,failure_release_rate,failure_settling_rate
force_feedback,Speed + force feedback,1.0,demonstrated_anchor,180,1.0,1.0,0.6407298249562067,0.5866578740779794,2.3951317460505437,58.96140880509661,0.20656934478348044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
force_feedback,Speed + force feedback,1.25,interpolation,180,1.0,1.0,0.6202799142422809,0.5528877127549652,2.7044212529501337,58.97993752123392,0.1803802894930029,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
force_feedback,Speed + force feedback,1.5,demonstrated_anchor,180,1.0,1.0,0.6251501399257073,0.5919654959557199,3.185768698043516,58.924176287402126,0.18272332455065185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
force_feedback,Speed + force feedback,1.75,interpolation,180,0.9944444444444445,0.9944444444444445,0.6833477981758608,0.5118435094484151,3.702388484800008,58.819122755169374,0.2351703450096508,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0
force_feedback,Speed + force feedback,2.0,demonstrated_anchor,180,1.0,1.0,0.7548285176449977,0.623781984267573,4.353483352372611,58.311417713031815,0.3328917550466087,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
force_feedback,Speed + force feedback,2.25,extrapolation,180,0.9944444444444445,0.9944444444444445,1.1461615349725243,0.9673076794550461,5.36747132710209,56.447480826143746,0.5618053281681857,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0
force_feedback,Speed + force feedback,2.5,extrapolation,180,0.9777777777777777,1.0,1.3390407101612587,1.6999010829066254,6.530486596850096,54.32720522573727,0.7977067739036497,1.0,1.0,1.0,1.0,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0
force_feedback,Speed + force feedback,3.0,extrapolation,180,0.044444444444444446,1.0,2.088744636098471,3.5462682116780293,9.98471487170833,47.9372282676543,1.5189618479859563,1.0,1.0,1.0,1.0,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.0,0.0,0.0,0.0,0.9555555555555556,0.0,0.0
dynamics_augmentation,Dynamics augmentation,0.5,demonstrated_anchor,180,0.9944444444444445,1.0,2.2236800398378147,0.5129748508965732,2.623641792477713,57.05976903766144,0.6370265876734698,1.0,1.0,1.0,1.0,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.0
dynamics_augmentation,Dynamics augmentation,0.75,interpolation,180,1.0,1.0,1.8072392015886705,0.49385998487988286,2.6541997162979807,57.54576468422464,0.5094761900733124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dynamics_augmentation,Dynamics augmentation,1.0,demonstrated_anchor,180,1.0,1.0,1.2745685292072226,0.5009850107788473,2.7204489793234967,58.13463507839584,0.3640963119195568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dynamics_augmentation,Dynamics augmentation,1.25,interpolation,180,1.0,1.0,0.9310634704037587,0.48189894470510586,2.887521161923237,58.51350430761821,0.236356902622889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dynamics_augmentation,Dynamics augmentation,1.5,demonstrated_anchor,180,1.0,1.0,0.6508459140979564,0.5250532678335291,3.2445064676344955,58.77081405517739,0.14637312145902695,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dynamics_augmentation,Dynamics augmentation,1.75,interpolation,180,1.0,1.0,0.7098759351493532,0.5136490684033835,3.7734819186106985,58.613427348560286,0.18241641769731162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dynamics_augmentation,Dynamics augmentation,2.0,demonstrated_anchor,180,1.0,1.0,0.9560167106436558,0.5701483740668387,4.500056408477258,57.807498783048906,0.2899262799834503,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dynamics_augmentation,Dynamics augmentation,2.25,extrapolation,180,0.9888888888888889,1.0,1.5873988536901384,0.5737876665702248,5.574382204230227,55.64032048101356,0.4419032947617361,1.0,1.0,1.0,1.0,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0
dynamics_augmentation,Dynamics augmentation,2.5,extrapolation,180,0.9055555555555556,1.0,1.840723980861983,0.6432218006389652,6.675921869657334,53.782271526597285,0.5288821294077249,1.0,1.0,1.0,1.0,0.9055555555555556,0.9055555555555556,0.9055555555555556,0.9055555555555556,0.0,0.0,0.0,0.0,0.09444444444444444,0.0,0.0
dynamics_augmentation,Dynamics augmentation,3.0,extrapolation,180,0.044444444444444446,1.0,2.869756018668353,0.6779140112111978,9.980316608782895,47.980610147818275,0.8296175412363351,1.0,1.0,1.0,1.0,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.0,0.0,0.0,0.011111111111111112,0.9444444444444444,0.0,0.0
