method,severity,trial,schedule_fingerprint,success,tracking_rmse,tail_rmse,final_error,policy_rmse,action_jerk,control_effort,latent_rmse,mean_inference_loss
open_loop,2.0,0,6e7ad229a64ce1ef,0.0,2.1713257413850835,3.9632643436919337,6.314581411773631,2.2787320251312253,0.05998195743636492,0.40409802953642554,2.2251173992836435,0.0
pred_error_w8,2.0,0,6e7ad229a64ce1ef,1.0,0.4065284495043438,0.3086401536432401,0.13757338564093313,0.4708221658615564,0.17749164147179902,1.0727489239596917,0.09008864557844272,9.832747413417351e-05
history_h4,2.0,0,6e7ad229a64ce1ef,1.0,0.4079765100971961,0.32239679886063666,0.2220362423668436,0.4369575878578037,0.17951922878941726,1.2216802533376347,nan,nan
history_h16,2.0,0,6e7ad229a64ce1ef,1.0,0.3885068988107708,0.296323031074091,0.14534442539230108,0.517246836601502,0.18758153281254245,1.2202922338252935,nan,nan
history_h16_chunk4,2.0,0,6e7ad229a64ce1ef,1.0,0.4750563295265531,0.32304877384756825,0.32501088381189946,0.5247606583878139,0.19545409258535268,1.2177645468658347,nan,nan
oracle,2.0,1,f1269003bfaee76c,0.0,1.1148006198910234,0.7165894252325948,0.2213858193134648,0.0,0.1613390352776827,1.6719315192731843,0.0,nan
open_loop,2.0,1,f1269003bfaee76c,0.0,16.131823686129376,25.987322790388973,27.275073596445008,2.482066376612258,0.03525555685976075,0.19608528340178916,7.607034919036617,0.0
pred_error_w8,2.0,1,f1269003bfaee76c,0.0,2.535780984353169,1.9079606134782896,0.2692050469172038,0.4395687162075606,0.2082957843896394,1.701949553186506,0.8170355386024558,0.6494598745840254
history_h4,2.0,1,f1269003bfaee76c,1.0,0.6348429697141001,0.22174001086523537,0.48471781888310517,0.7477720692883345,0.1585740725084455,1.6473723950882138,nan,nan
history_h16,2.0,1,f1269003bfaee76c,1.0,0.5869024919124625,0.27096680193980044,0.5451347439544314,0.7922872612625359,0.1553091033194115,1.6163132276685668,nan,nan
history_h16_chunk4,2.0,1,f1269003bfaee76c,0.0,0.7899534944275154,0.28711333743749523,0.5834089868226222,0.7403143389928104,0.20369919104616638,1.7151909680028348,nan,nan
oracle,2.0,2,2bd5a7538d7fbf0f,1.0,0.3162351808824351,0.26819197473498557,0.391326516972331,0.0,0.1352515600142326,0.995567644824653,0.0,nan
open_loop,2.0,2,2bd5a7538d7fbf0f,0.0,2.5592379924110373,2.475811336571684,1.5194572238470823,2.0799933410777363,0.07965057376349442,0.5496577391714154,2.5788071909812986,0.0
pred_error_w8,2.0,2,2bd5a7538d7fbf0f,1.0,0.33482773797463766,0.33713708555848415,0.4238054096830961,0.24698801928673517,0.17998077936380222,0.9788064987015785,0.12477621345028253,0.01054891850153193
history_h4,2.0,2,2bd5a7538d7fbf0f,1.0,0.3810964205311269,0.39634687378433553,0.5246174478137906,0.27939919328511614,0.16660906134978123,1.0564565853799988,nan,nan
history_h16,2.0,2,2bd5a7538d7fbf0f,1.0,0.37630121865628496,0.41012234689816,0.4855430818054103,0.2991764192551084,0.17128287059193498,1.0578585015460296,nan,nan
history_h16_chunk4,2.0,2,2bd5a7538d7fbf0f,0.0,0.4649188576434225,0.5679103426538579,0.5916461931741601,0.47899546944819976,0.1844273353292447,1.009002753528258,nan,nan
oracle,2.0,3,88886cdbf4541d66,0.0,0.6503653591918724,1.0954227536446637,0.2066432659627857,0.0,0.12738839527488693,1.3907779979992552,0.0,nan
open_loop,2.0,3,88886cdbf4541d66,0.0,6.0709202046398385,11.36288977536285,18.343038838209075,2.361895951356369,0.059706670128842336,0.43120849098570674,3.3655174172430162,0.0
pred_error_w8,2.0,3,88886cdbf4541d66,0.0,2.65254124094718,4.9770579902382455,6.688582729357032,1.2296862539431606,0.16455748463691539,1.0852513408112634,0.636736763911257,0.37386499050965377
history_h4,2.0,3,88886cdbf4541d66,0.0,0.7243295879758409,1.1084168404976986,0.049594496557347156,0.8778127268511122,0.18790593262904487,1.5824515524179918,nan,nan
history_h16,2.0,3,88886cdbf4541d66,0.0,0.6942620850796599,1.046852081102994,0.027299586868156922,0.861353059213561,0.18143898489845817,1.5519578617603773,nan,nan
history_h16_chunk4,2.0,3,88886cdbf4541d66,0.0,0.9368566866166479,1.4842563672444273,0.2591086596623846,0.9753763206842898,0.22416718585648945,1.61846606781768,nan,nan
oracle,2.0,4,b6703c2ddeabca61,0.0,0.7712865513833793,1.0813309248971883,0.016678401432961287,0.0,0.14697174271556807,1.5907559521136296,0.0,nan
open_loop,2.0,4,b6703c2ddeabca61,0.0,4.020247616771913,4.7427294833220595,2.1173868970362477,2.009163384303551,0.013441959473102252,0.1413874789306145,2.076297819587693,0.0
pred_error_w8,2.0,4,b6703c2ddeabca61,0.0,1.0259869367102228,1.5867739637853355,0.04430286697648178,0.36947707847303574,0.18511361930441864,1.6149860669428489,0.1587734165762734,0.0005578262247711552
history_h4,2.0,4,b6703c2ddeabca61,0.0,0.6504196064002171,0.83933047667594,0.49454382765199245,0.7937904350270472,0.2030559715630046,1.768827769420193,nan,nan
history_h16,2.0,4,b6703c2ddeabca61,0.0,0.6220141747115034,0.806626454712354,0.3762594194050415,0.8003852770595086,0.200579372157537,1.731304529555025,nan,nan
history_h16_chunk4,2.0,4,b6703c2ddeabca61,0.0,0.8666916842012333,1.1269795621911836,0.31753984192481255,0.8942007612385251,0.24759453129020736,1.8733984713763918,nan,nan
oracle,2.0,5,e10a735644d4e2a3,0.0,0.661868957033233,0.30530443779292604,0.8122555472608823,0.0,0.0947359335012607,1.3185710881279302,0.0,nan
open_loop,2.0,5,e10a735644d4e2a3,0.0,16.255257081930743,27.895997369389026,34.36185064938019,2.370341819243377,0.0335796972972926,0.23842891842551306,8.547509645975861,0.0
pred_error_w8,2.0,5,e10a735644d4e2a3,0.0,1.5130374792374166,1.5957863643159582,3.521704816231825,0.8526286273977559,0.19117303769048707,1.567504654368177,1.4059154154088152,1.8986780056161718
history_h4,2.0,5,e10a735644d4e2a3,0.0,0.6692216575680562,0.5596461963966757,1.1419714232746259,0.7365072006609624,0.17268092402525578,1.5161902469255375,nan,nan
history_h16,2.0,5,e10a735644d4e2a3,0.0,0.6202717198140241,0.53402810147486,1.140550074583679,0.6877614659200829,0.1776220063140631,1.540041941439882,nan,nan
history_h16_chunk4,2.0,5,e10a735644d4e2a3,0.0,0.7651949486646917,0.5822607729128029,1.3753536253733856,0.7462638171358545,0.20272522464676246,1.5285512652363435,nan,nan
oracle,2.0,6,b4125917d24bbf42,0.0,1.3615640720572315,2.5686983603199467,2.923354828272128,0.0,0.12034107419893883,1.429594468103753,0.0,nan
open_loop,2.0,6,b4125917d24bbf42,0.0,4.9206313991334465,5.561570725587625,7.158180620051887,2.5169534664665223,0.012692529684870509,0.14693747497070375,8.222857517029828,0.0
pred_error_w8,2.0,6,b4125917d24bbf42,0.0,2.0448950622655886,3.8614600085807034,5.679010805441905,0.47882270467458543,0.16306724580807208,1.3062385521898485,0.6021201829378641,0.31724743510752973
history_h4,2.0,6,b4125917d24bbf42,0.0,0.7737251604817506,1.4401842538281788,0.12087162365243742,0.6884564178464488,0.18581956729444654,1.7259754340061757,nan,nan
history_h16,2.0,6,b4125917d24bbf42,0.0,0.7790896214651539,1.4504238224141137,0.019869067310661848,0.6941463822672648,0.18373024610211153,1.7219410405916593,nan,nan
