seed,method,buffer_size,final_avg_success,final_old_success,final_current_success,final_tracking_rmse,final_on_policy_action_mse,nbt,mean_interaction_drop,worst_interaction_drop,final_forgetting,auc,plasticity,anchor_concentration,runtime_seconds
20,random,32,0.484375,0.4479166666666667,0.59375,0.42738531004691255,1.791732806781664,0.13194444444444445,0.041666666666666664,0.34375,0.08333333333333333,0.4739583333333333,0.546875,0.07291666666666667,2.711485273001017
20,random,96,0.484375,0.4583333333333333,0.5625,0.46029671352025714,1.9133352667438617,0.17361111111111113,0.057291666666666664,0.625,0.11458333333333333,0.46875,0.5703125,0.1111111111111111,2.696156507008709
20,random,288,0.484375,0.375,0.8125,0.470837161529977,1.9357317478362428,0.40277777777777785,0.16145833333333334,0.8125,0.3229166666666667,0.517578125,0.7265625,0.0810185185185185,2.7209300539980177
20,loss_hard,12,0.0234375,0.0,0.09375,2.0513084828979706,11.49523559091146,0.53125,0.265625,1.0,0.53125,0.14713541666666669,0.421875,0.6666666666666666,2.79897091400926
20,loss_hard,32,0.03125,0.0,0.125,1.4370321401174997,7.918720190278309,0.6770833333333334,0.3385416666666667,1.0,0.6770833333333334,0.203125,0.5390625,0.65625,2.7543292139889672
20,loss_hard,96,0.1953125,0.21875,0.125,0.7427586631266254,3.4913209957795868,0.5625,0.3072916666666667,1.0,0.6145833333333334,0.39973958333333337,0.65625,0.34722222222222227,2.7459701849729754
20,loss_hard,288,0.375,0.21875,0.84375,0.45952749437369106,1.8185289942451406,0.4322916666666667,0.2604166666666667,0.5625,0.5208333333333334,0.5377604166666666,0.765625,0.3113425925925926,2.7219982910028193
20,diversity,12,0.546875,0.4270833333333333,0.90625,0.43332674001555604,1.7720852383350532,0.3177083333333333,0.13020833333333334,0.53125,0.2604166666666667,0.5944010416666667,0.7421875,0.16666666666666666,2.7957304829906207
20,diversity,32,0.4140625,0.3645833333333333,0.5625,0.47929340487192507,2.0954052579351696,0.24305555555555555,0.09895833333333333,0.84375,0.19791666666666666,0.42708333333333337,0.5625,0.13541666666666666,2.732834655995248
20,diversity,96,0.5703125,0.5833333333333334,0.53125,0.39380831528111715,1.643891014760854,0.23611111111111113,0.11979166666666667,0.40625,0.23958333333333334,0.6412760416666666,0.75,0.14930555555555555,2.794999995006947
20,diversity,288,0.53125,0.5104166666666666,0.59375,0.3672415599298825,1.5663087017804798,0.2864583333333333,0.11458333333333333,0.5625,0.22916666666666666,0.5625,0.703125,0.13425925925925927,2.740483775996836
20,anchors,12,0.375,0.4166666666666667,0.25,0.4997429923816851,2.077621920868751,0.3524305555555555,0.1875,0.59375,0.375,0.501953125,0.65625,0.2222222222222222,2.8137783280108124
20,anchors,32,0.453125,0.46875,0.40625,0.4941102776296781,2.1386071787650764,0.2222222222222222,0.052083333333333336,0.4375,0.10416666666666667,0.404296875,0.53125,0.3020833333333333,2.7571427850052714
20,anchors,96,0.515625,0.4791666666666667,0.625,0.44103937174096763,1.8504106465518642,0.22569444444444445,0.08333333333333333,0.5625,0.16666666666666666,0.521484375,0.640625,0.2743055555555555,2.7274144900147803
20,anchors,288,0.609375,0.5104166666666666,0.90625,0.36368480011369575,1.49467335735638,0.14930555555555555,0.06770833333333333,0.40625,0.13541666666666666,0.6341145833333333,0.7109375,0.23611111111111108,2.7275673740077764
21,no_replay,0,0.375,0.17708333333333334,0.96875,0.4832524140114065,2.1327559735155748,0.8489583333333334,0.4114583333333333,1.0,0.8229166666666666,0.5924479166666666,0.9921875,nan,2.2315587689809036
21,random,12,0.40625,0.22916666666666666,0.9375,0.4841959699002163,2.0581629185992765,0.46701388888888884,0.203125,0.96875,0.40625,0.4661458333333333,0.7109375,0.027777777777777776,2.740849023015471
21,random,32,0.2421875,0.15625,0.5,0.7803205825144599,3.427172786558465,0.4947916666666667,0.21875,1.0,0.4375,0.3053385416666667,0.5703125,0.125,2.7958274950215127
21,random,96,0.2109375,0.13541666666666666,0.4375,0.8764072003418746,3.9409961618589886,0.37847222222222215,0.1875,0.9375,0.375,0.28125,0.4921875,0.09375,2.7232493329793215
21,random,288,0.21875,0.11458333333333333,0.53125,0.8172502129648022,3.604278902980499,0.5190972222222222,0.24479166666666666,0.96875,0.4895833333333333,0.3072916666666667,0.5859375,0.11342592592592593,2.73753297701478
21,loss_hard,12,0.0390625,0.0,0.15625,2.433945358813379,14.15665898723326,0.6354166666666666,0.3177083333333333,1.0,0.6354166666666666,0.18359375,0.515625,0.3611111111111111,2.718193781998707
21,loss_hard,32,0.109375,0.0,0.4375,2.354331144340625,13.616242397893378,0.59375,0.296875,1.0,0.59375,0.24088541666666666,0.5546875,0.34375,2.723448914999608
21,loss_hard,96,0.1328125,0.0,0.53125,2.085180319802418,11.380432593710568,0.6041666666666666,0.3020833333333333,1.0,0.6041666666666666,0.26953125,0.5859375,0.4305555555555556,2.7784955730021466
21,loss_hard,288,0.3046875,0.09375,0.9375,0.5380696919083132,2.3804788092549076,0.5069444444444445,0.2708333333333333,1.0,0.5416666666666666,0.4427083333333333,0.7109375,0.1261574074074074,2.7798621660040226
21,diversity,12,0.296875,0.16666666666666666,0.6875,1.0016857748648496,5.221851296244999,0.4166666666666667,0.203125,1.0,0.40625,0.37239583333333337,0.6015625,0.16666666666666666,2.7238883810059633
21,diversity,32,0.2734375,0.1875,0.53125,0.6161302861892101,2.658086894241358,0.5052083333333334,0.23958333333333334,0.78125,0.4791666666666667,0.365234375,0.6328125,0.14583333333333334,2.7354313109826762
21,diversity,96,0.34375,0.25,0.625,0.524435603646023,2.1387849437164435,0.421875,0.16666666666666666,1.0,0.3333333333333333,0.359375,0.59375,0.11805555555555557,2.9452927889942657
21,diversity,288,0.2890625,0.17708333333333334,0.625,0.8353692064700586,3.876386419584321,0.49652777777777785,0.234375,0.96875,0.46875,0.37109375,0.640625,0.12962962962962962,2.7746035669988487
21,anchors,12,0.2421875,0.10416666666666667,0.65625,0.45657062084794525,2.0109833659133,0.6597222222222222,0.3489583333333333,0.875,0.6979166666666666,0.4264322916666667,0.765625,0.27777777777777773,2.803135583992116
21,anchors,32,0.359375,0.28125,0.59375,0.5417453236069503,2.190830543970485,0.4322916666666667,0.18229166666666666,0.96875,0.3645833333333333,0.3971354166666667,0.6328125,0.2916666666666667,2.844422835012665
21,anchors,96,0.328125,0.19791666666666666,0.71875,0.8899916063690739,4.1069670021586315,0.40451388888888884,0.1875,0.9375,0.375,0.3860677083333333,0.609375,0.2569444444444445,2.837347770022461
21,anchors,288,0.28125,0.1875,0.5625,0.6303358267515577,2.626316079984309,0.43923611111111116,0.203125,0.9375,0.40625,0.345703125,0.5859375,0.23958333333333334,2.79338160098996
22,no_replay,0,0.46875,0.2916666666666667,1.0,0.465212353397009,2.046317946178178,0.8541666666666666,0.3541666666666667,1.0,0.7083333333333334,0.59375,1.0,nan,2.2563824100070633
22,random,12,0.234375,0.14583333333333334,0.5,0.5308296725668675,2.3076096140017572,0.5972222222222222,0.3333333333333333,0.75,0.6666666666666666,0.43489583333333337,0.734375,0.1111111111111111,2.7320454549917486
22,random,32,0.3359375,0.14583333333333334,0.90625,0.8403710088615478,3.9415685259240507,0.5243055555555555,0.2604166666666667,0.9375,0.5208333333333334,0.44401041666666663,0.7265625,0.11458333333333333,2.7657601730024908
22,random,96,0.390625,0.20833333333333334,0.9375,0.6485009306069195,2.8583916380639116,0.4930555555555555,0.234375,0.90625,0.46875,0.48046875,0.7421875,0.10069444444444443,2.765781527996296
