seed,method,buffer_size,train_stage,eval_task,success,tracking_rmse,branch_error,final_error,on_policy_action_mse,runtime_seconds
18,random,96,2,0,0.25,0.4152960901995213,0.614024758878031,0.02147191386556313,1.6732959556897802,2.723302758007776
18,random,96,2,1,0.21875,0.8761381103408976,1.3817959391433523,0.01830503321368767,3.593085314508814,2.723302758007776
18,random,96,2,2,0.125,0.5072703016724706,0.7637673239321736,0.024212910942429524,2.368882591050322,2.723302758007776
18,random,96,3,0,0.0625,0.5986761778738676,0.8637813031331003,0.025072046603351716,2.5949609770983875,2.723302758007776
18,random,96,3,1,0.375,0.7116812781867015,1.09683371765846,0.0166569171731585,2.871064767796076,2.723302758007776
18,random,96,3,2,0.0625,0.622670894929532,0.9655140175452525,0.017010680082109597,2.8998367832417546,2.723302758007776
18,random,96,3,3,0.65625,0.3177053466282811,0.4879306005033479,0.017142677154038485,1.2944695333548246,2.723302758007776
18,random,288,0,0,1.0,0.05036910591697221,0.037561497275700934,0.02140253426829025,0.024872528406040324,2.7213273659872357
18,random,288,1,0,0.34375,0.33982629250235397,0.40874319216155497,0.20981800355696553,1.4021510444024172,2.7213273659872357
18,random,288,1,1,0.96875,0.07542089788482562,0.07166768622078021,0.001961465862338995,0.1037799945249526,2.7213273659872357
18,random,288,2,0,0.09375,0.6859648205950364,1.0455828013067001,0.045139622905220125,2.877405808864845,2.7213273659872357
18,random,288,2,1,0.28125,0.7422292947180791,1.1511403142571517,0.031555075380582207,3.0247305631104973,2.7213273659872357
18,random,288,2,2,0.125,0.5204505994552088,0.7750227511131251,0.0367787745191602,2.4867158582733757,2.7213273659872357
18,random,288,3,0,0.1875,0.5048810892883978,0.7157008126833075,0.0687831208645793,2.189992716462136,2.7213273659872357
18,random,288,3,1,0.3125,0.6850192741261334,1.0602545058483672,0.056433460570032776,2.8461511773872203,2.7213273659872357
18,random,288,3,2,0.125,0.6204351592912545,0.9485307748932238,0.06354535712287282,2.8960209023175327,2.7213273659872357
18,random,288,3,3,0.59375,0.3675824970681608,0.5623571538424923,0.045338585041168084,1.4698265626497982,2.7213273659872357
18,loss_hard,12,0,0,1.0,0.050988546065944385,0.03521047227036409,0.02708124968233078,0.025422945664944352,2.732445014989935
18,loss_hard,12,1,0,0.0,1.7341756776403,0.6393953174473902,3.9475765579501356,10.695649952530795,2.732445014989935
18,loss_hard,12,1,1,0.84375,0.07227257303358689,0.056395317091133074,0.09140631787359665,0.07889099851755157,2.732445014989935
18,loss_hard,12,2,0,0.0,1.9099725508433918,2.3673931595282447,2.0430385450967403,9.194449152273357,2.732445014989935
18,loss_hard,12,2,1,0.0,0.9134502631264052,0.4286354957339886,1.7155934221325975,4.109690556498027,2.732445014989935
18,loss_hard,12,2,2,0.125,0.6922314944418593,0.6171005986930409,1.0354247257447873,4.0508092334394945,2.732445014989935
