model,horizon,history,scaling,capacity,success,success_sem,collision,collision_sem,goal_distance,goal_distance_sem,tracking_rmse,tracking_rmse_sem,max_state_divergence,max_state_divergence_sem,ood_fraction,ood_fraction_sem,smoothness,smoothness_sem,on_policy_oracle_mse,on_policy_oracle_mse_sem,query_count,query_count_sem,feature_count,train_samples,val_action_mse,val_first_action_mse
H4_hist4_balanced_quadratic,4,4,balanced,quadratic,0.8333333333333334,0.03823595564509363,0.09375,0.02990527809425515,0.08468845636993826,0.011266120803707045,0.17584094661795638,0.008922595822310616,0.30467271446006,0.015120101213550724,0.31669560185185186,0.021745989540409412,0.0046884104301317675,0.00012997712528824967,0.04923425980300485,0.004485803891406476,18.0,0.0,189,6120,0.000374461420879078,0.00024970939481891837
H8_hist4_balanced_quadratic,8,4,balanced,quadratic,0.8645833333333334,0.03510570399830167,0.09375,0.02990527809425515,0.06737884820174099,0.005658867882959611,0.17281253278104305,0.0075119204643303294,0.30239964049446305,0.013556385788399839,0.3109085648148148,0.021267775502851735,0.002905081228399886,5.745296667141952e-05,0.04563972723829356,0.003562426351980796,9.0,0.0,189,5760,0.00045787791390811404,0.0002509875870723484
H16_hist4_balanced_quadratic,16,4,balanced,quadratic,0.8958333333333334,0.03134124107007994,0.09375,0.02990527809425515,0.05632953083461578,0.003724769970152775,0.16984788396933426,0.007067514392422631,0.3014278842837887,0.013351343687910333,0.2984664351851852,0.02030998227893227,0.002530944053660346,6.168961177107626e-05,0.044455686978301344,0.0033601502281649437,5.0,0.0,189,5040,0.00050370189234301,0.00025475986949652113
H1_hist0_clock_focus_quadratic,1,0,clock_focus,quadratic,0.25,0.04442616583193193,0.125,0.03393104462691481,0.2882334069291524,0.016368466926282563,0.23502147293013223,0.010644035057242464,0.3596021651476556,0.01637130153348556,0.45196759259259256,0.024436535021812804,0.013700339718905337,0.00018889610313710585,0.12771912935286553,0.012181750937867095,72.0,0.0,65,6390,0.0008343470804721396,0.0008343470804721396
H4_hist0_clock_focus_quadratic,4,0,clock_focus,quadratic,0.375,0.04966996338993914,0.13541666666666666,0.03510570399830168,0.22023968081573173,0.01286909823583688,0.2152350840703823,0.009494097072060328,0.33094793991401367,0.014590127413133773,0.4225983796296296,0.025314736245020376,0.004832073814780175,0.00010275416880063386,0.09595099609760745,0.009172523368958043,18.0,0.0,65,6120,0.0007670055855899526,0.0008338464651223524
H8_hist0_clock_focus_quadratic,8,0,clock_focus,quadratic,0.4479166666666667,0.05101984406389433,0.13541666666666666,0.03510570399830168,0.17399045642663566,0.00993910016858683,0.2041609719237418,0.008704741334407169,0.32371329141353505,0.01406095103016485,0.4016203703703704,0.025775045682389138,0.003614322084190963,9.93734859147654e-05,0.07794206785699186,0.00710806277905518,9.0,0.0,65,5760,0.0007119494964600137,0.0008388344040048873
H16_hist0_clock_focus_quadratic,16,0,clock_focus,quadratic,0.6875,0.047555369390792634,0.125,0.03393104462691481,0.11717262842671305,0.006014445514511414,0.19379191302968846,0.008118819200926629,0.3184877941730193,0.01380617340538741,0.37673611111111116,0.025265814289212797,0.0034543850386891182,0.00010621958408048624,0.0638310314689987,0.005658884994297383,5.0,0.0,65,5040,0.0006509531844296973,0.0008494194620092731
H1_hist4_clock_focus_quadratic,1,4,clock_focus,quadratic,0.2708333333333333,0.045593471241867974,0.19791666666666666,0.040877951813226225,0.5613765706796351,0.05541996416055178,0.3479209691303668,0.021112670330881496,0.691902157808209,0.047242317505155576,0.5010127314814815,0.0199148202257699,0.008813534192431404,0.0001611567595912015,0.3837341637584218,0.03906374119850602,72.0,0.0,189,6390,0.00023971485505978218,0.00023971485505978218
H4_hist4_clock_focus_quadratic,4,4,clock_focus,quadratic,0.53125,0.051198626369320335,0.09375,0.02990527809425515,0.15287752632810456,0.010819291841825908,0.19325868939356997,0.008574116506284934,0.3137308256657619,0.014272229605672074,0.3776041666666667,0.024071478407029258,0.004564668698618168,8.436731592668652e-05,0.06917000565258315,0.006151414928322085,18.0,0.0,189,6120,0.000369713700275486,0.00024243353334729657
H8_hist4_clock_focus_quadratic,8,4,clock_focus,quadratic,0.59375,0.05038911092686594,0.11458333333333333,0.03267930184391717,0.1306979472696955,0.009373195490457117,0.190930108094621,0.008270127083270545,0.3125530199084195,0.014012248733362319,0.3671875,0.02338102809662473,0.0028736662707128722,5.5604799310766e-05,0.06400783271635817,0.005738484420372871,9.0,0.0,189,5760,0.0004578863173788574,0.000244798032558355
H16_hist4_clock_focus_quadratic,16,4,clock_focus,quadratic,0.7604166666666666,0.043791751172569414,0.10416666666666667,0.03134124107007994,0.09269218070935765,0.006376253057623219,0.18762038019510288,0.00798334699066048,0.3132025255610311,0.014015395824258795,0.3518518518518518,0.022978483974358994,0.0027489423876917636,5.314639146050984e-05,0.05985609568514877,0.005037171288524178,5.0,0.0,189,5040,0.0005077889469495008,0.0002513977394418478
H1_hist0_state_focus_quadratic,1,0,state_focus,quadratic,0.21875,0.04241380578364351,0.08333333333333333,0.028356543640780024,0.3992023138490441,0.03662717028047076,0.23747611052984133,0.013234820665114035,0.4372002605797117,0.03311370935069763,0.4289641203703703,0.025072208124694045,0.013054506372536391,0.0001906674288429902,0.19362151199809743,0.026737590111028813,72.0,0.0,65,6390,0.0008716503028142725,0.0008716503028142725
H4_hist0_state_focus_quadratic,4,0,state_focus,quadratic,0.3541666666666667,0.04906844187768849,0.07291666666666667,0.02667540290010708,0.2940885281061823,0.02537299060448765,0.21486659356127472,0.010804336621735943,0.3659156877058518,0.02307812973923972,0.40407986111111116,0.024128320426585522,0.006742591063434091,0.0004261830336529136,0.12742565878855414,0.01778465690277092,18.0,0.0,65,6120,0.0007951779903420232,0.0008736760052102469
H8_hist0_state_focus_quadratic,8,0,state_focus,quadratic,0.4270833333333333,0.05075048972770943,0.09375,0.02990527809425515,0.21749974928475493,0.01632640862422676,0.20236276976053147,0.009219636417250742,0.3217534063517824,0.01569991078342279,0.3948206018518519,0.024831357355710706,0.00479896760162967,0.0003187535252411779,0.09117163836211135,0.010949513313537024,9.0,0.0,65,5760,0.00072947005562792,0.0008816271785377763
H16_hist0_state_focus_quadratic,16,0,state_focus,quadratic,0.5208333333333334,0.05125436794965019,0.08333333333333333,0.028356543640780024,0.17126868820820237,0.012434591685758657,0.19263942201895246,0.008251838293258568,0.3077622911412093,0.013550195672670346,0.3802083333333333,0.024586969106479388,0.004012237890637246,0.00026472755892666854,0.07265992809397069,0.007729111748877329,5.0,0.0,65,5040,0.0006576799228369951,0.0008958959294560682
H1_hist4_state_focus_quadratic,1,4,state_focus,quadratic,0.25,0.04442616583193193,0.11458333333333333,0.03267930184391717,0.5822902317932438,0.05456194654260914,0.33646005801713813,0.018660958218645596,0.684224068820703,0.04486641609474695,0.4930555555555556,0.018251995938814127,0.014203015960747108,0.004544986449300705,0.384777698135218,0.038293928822243,72.0,0.0,189,6390,0.0002660867240695794,0.0002660867240695794
H4_hist4_state_focus_quadratic,4,4,state_focus,quadratic,0.7083333333333334,0.04663376032810545,0.08333333333333333,0.028356543640780024,0.12322251900724031,0.013244350188307868,0.1908920418328172,0.009986272485964563,0.3138265994516846,0.016073017943498847,0.35257523148148145,0.023386959343274994,0.004880282224142945,0.00015296074730646405,0.06848709738258398,0.007040290557508187,18.0,0.0,189,6120,0.00038959366950046265,0.0002658994005074479
