seed,shots,target_demo_transitions,method,label,prediction_rmse,position_rmse,mean_state_l2,p90_position_l2,candidate_top1,candidate_regret,candidate_regret_p90,planning_success
27,16,192,learned_latent,Learned latent,0.019559910772895903,0.005276537074179324,0.033969924213950856,0.0113210979693258,0.834375,0.0007472715582452781,0.0026934625117580615,0.903125
27,16,192,latent_to_ee_curriculum,Latent→EE curriculum,0.005915479128742733,0.001587418959916914,0.009164066787750199,0.003597650283440941,0.971875,3.2799468055954694e-05,0.0,1.0
27,32,384,raw_joint,Raw / padded joints,0.01940875813167311,0.005042569558397532,0.03324715276287615,0.010841045677612984,0.840625,0.000675340651114076,0.002892345317905105,0.90625
27,32,384,canonical_ee,Canonical EE,0.005855484108628395,0.0014669773604940408,0.008973519784264293,0.003112504078201408,0.96875,4.620754646289589e-05,0.0,1.0
27,32,384,learned_latent,Learned latent,0.019396920674720302,0.005246518315960745,0.03322040281034544,0.010848829045275418,0.840625,0.0007030627497026119,0.0026934625117580615,0.90625
27,32,384,latent_to_ee_curriculum,Latent→EE curriculum,0.005863172223863631,0.0015780646200797964,0.009003254643395703,0.0035961656690858927,0.9625,6.119222804699392e-05,0.0,1.0
28,0,0,raw_joint,Raw / padded joints,0.107368532868233,0.028724409245119945,0.19499646828567918,0.06018718343197597,0.10625,0.03508537266346505,0.06956207119766104,0.125
28,0,0,canonical_ee,Canonical EE,0.011916132823325041,0.0025315814725802893,0.017630225449867552,0.005586570337592815,0.928125,7.240027483379557e-05,0.0,0.99375
28,0,0,learned_latent,Learned latent,0.11025793450459907,0.02964553431469531,0.19967543446789238,0.06228886397221788,0.1,0.03506560936522718,0.06931255522228913,0.11875
28,0,0,latent_to_ee_curriculum,Latent→EE curriculum,0.010276386562138808,0.0029948818474844303,0.015985437023549036,0.006835741498053408,0.9125,0.00010603091631075415,0.0,0.9875
28,1,12,raw_joint,Raw / padded joints,0.21089017648391176,0.05582029967371098,0.3440466912904688,0.13606126996144843,0.25,0.022485207622893726,0.05592507239930233,0.303125
28,1,12,canonical_ee,Canonical EE,0.00925639737708964,0.0023213125083090544,0.014488634975265615,0.005253322363040507,0.9125,0.00016867517735262707,0.0,0.978125
28,1,12,learned_latent,Learned latent,0.21075896786510767,0.05528487950439454,0.343805857917382,0.13289583986753448,0.246875,0.023306278773454932,0.054909916987003315,0.290625
28,1,12,latent_to_ee_curriculum,Latent→EE curriculum,0.009291311386359871,0.0024219600012073948,0.014561181075237926,0.00569072239253531,0.915625,0.0001555426157265883,0.0,0.978125
28,2,24,raw_joint,Raw / padded joints,0.03481106312667973,0.009000219534909369,0.056119265888968865,0.019846440886270238,0.696875,0.00199503444072117,0.007488864375968181,0.7875
28,2,24,canonical_ee,Canonical EE,0.010098369059148028,0.002507284759543766,0.014723493469865127,0.005581549898365695,0.921875,9.162208373882533e-05,0.0,0.9875
28,2,24,learned_latent,Learned latent,0.03477157046843173,0.00928958128838829,0.05604056715746719,0.021494464423702325,0.6875,0.0018721780743137823,0.006717748778818454,0.796875
28,2,24,latent_to_ee_curriculum,Latent→EE curriculum,0.010081823114494277,0.002639548457096806,0.01472598548409932,0.005800247228298684,0.921875,0.0001270145022965701,0.0,0.9875
28,4,48,raw_joint,Raw / padded joints,0.022594967022876878,0.005888122612351659,0.0383115271184333,0.012540922242833227,0.75625,0.0008950446495548586,0.0030452301460745144,0.896875
28,4,48,canonical_ee,Canonical EE,0.007511363137654707,0.00187262911074076,0.011233230912750764,0.0038734980446031506,0.896875,0.00014466366602799904,1.1179324380304582e-05,0.984375
28,4,48,learned_latent,Learned latent,0.022579109401217923,0.006186960307671196,0.038275436598472004,0.013178672623853199,0.74375,0.001001317030467235,0.003200435532053022,0.8875
28,4,48,latent_to_ee_curriculum,Latent→EE curriculum,0.0075076966133456385,0.002041020685747674,0.011264162674732911,0.004258121243794996,0.91875,0.00010116488174890444,0.0,0.990625
28,8,96,raw_joint,Raw / padded joints,0.020518588220975898,0.005426213338470984,0.03392758391279713,0.011816695353856795,0.8,0.0004599404900451741,0.001544637097762524,0.94375
28,8,96,canonical_ee,Canonical EE,0.008309653506649223,0.0020783568443026278,0.01234976032099882,0.0048258865383469405,0.91875,0.0001235764810441719,0.0,0.9875
28,8,96,learned_latent,Learned latent,0.02050702210226915,0.005514580106846633,0.03390186421821832,0.012200424866264678,0.790625,0.0005623264948765475,0.0019421504996983156,0.934375
