seed,shots,latent_explained_variance,latent_components,source_labeled_transitions,source_total_transitions
24,4,0.9999189019127346,"[[0.09089937129190968, -0.16824010071687512, 0.7538038018197977, -0.628659209088303], [-0.1662008244361744, -0.0895574267202579, -0.6289290499485443, -0.7541916224719043]]",36,3600
24,8,0.9999189019127346,"[[0.09089937129190968, -0.16824010071687512, 0.7538038018197977, -0.628659209088303], [-0.1662008244361744, -0.0895574267202579, -0.6289290499485443, -0.7541916224719043]]",36,3600
24,16,0.9999189019127346,"[[0.09089937129190968, -0.16824010071687512, 0.7538038018197977, -0.628659209088303], [-0.1662008244361744, -0.0895574267202579, -0.6289290499485443, -0.7541916224719043]]",36,3600
24,32,0.9999189019127346,"[[0.09089937129190968, -0.16824010071687512, 0.7538038018197977, -0.628659209088303], [-0.1662008244361744, -0.0895574267202579, -0.6289290499485443, -0.7541916224719043]]",36,3600
25,0,0.9999068810394642,"[[0.0933124045165031, -0.16819429273110165, 0.7631749393348412, -0.6169015213365056], [-0.1651613782635074, -0.0927797202820626, -0.6174102736173177, -0.7634907967135363]]",36,3600
25,1,0.9999068810394642,"[[0.0933124045165031, -0.16819429273110165, 0.7631749393348412, -0.6169015213365056], [-0.1651613782635074, -0.0927797202820626, -0.6174102736173177, -0.7634907967135363]]",36,3600
25,2,0.9999068810394642,"[[0.0933124045165031, -0.16819429273110165, 0.7631749393348412, -0.6169015213365056], [-0.1651613782635074, -0.0927797202820626, -0.6174102736173177, -0.7634907967135363]]",36,3600
25,4,0.9999068810394642,"[[0.0933124045165031, -0.16819429273110165, 0.7631749393348412, -0.6169015213365056], [-0.1651613782635074, -0.0927797202820626, -0.6174102736173177, -0.7634907967135363]]",36,3600
25,8,0.9999068810394642,"[[0.0933124045165031, -0.16819429273110165, 0.7631749393348412, -0.6169015213365056], [-0.1651613782635074, -0.0927797202820626, -0.6174102736173177, -0.7634907967135363]]",36,3600
25,16,0.9999068810394642,"[[0.0933124045165031, -0.16819429273110165, 0.7631749393348412, -0.6169015213365056], [-0.1651613782635074, -0.0927797202820626, -0.6174102736173177, -0.7634907967135363]]",36,3600
25,32,0.9999068810394642,"[[0.0933124045165031, -0.16819429273110165, 0.7631749393348412, -0.6169015213365056], [-0.1651613782635074, -0.0927797202820626, -0.6174102736173177, -0.7634907967135363]]",36,3600
26,0,0.9999162245125015,"[[0.09024765183311174, -0.16934333057088913, 0.7513267590035668, -0.631416106014856], [-0.16678853865395465, -0.08830713923723654, -0.6317345449802094, -0.751860956036461]]",36,3600
26,1,0.9999162245125015,"[[0.09024765183311174, -0.16934333057088913, 0.7513267590035668, -0.631416106014856], [-0.16678853865395465, -0.08830713923723654, -0.6317345449802094, -0.751860956036461]]",36,3600
26,2,0.9999162245125015,"[[0.09024765183311174, -0.16934333057088913, 0.7513267590035668, -0.631416106014856], [-0.16678853865395465, -0.08830713923723654, -0.6317345449802094, -0.751860956036461]]",36,3600
26,4,0.9999162245125015,"[[0.09024765183311174, -0.16934333057088913, 0.7513267590035668, -0.631416106014856], [-0.16678853865395465, -0.08830713923723654, -0.6317345449802094, -0.751860956036461]]",36,3600
