sweep,method,planner_latency,planner_cadence,transport_delay,controller_capacity,controller_noise,planner_profile,n,success_mean,success_sem,completion_steps_mean,completion_steps_sem,completion_time_s_mean,completion_time_s_sem,idle_steps_mean,idle_steps_sem,idle_fraction_mean,idle_fraction_sem,stale_instruction_errors_mean,stale_instruction_errors_sem,stale_error_fraction_mean,stale_error_fraction_sem,wrong_instruction_errors_mean,wrong_instruction_errors_sem,wrong_instruction_fraction_mean,wrong_instruction_fraction_sem,control_smoothness_mean,control_smoothness_sem,safety_violations_mean,safety_violations_sem,planner_calls_mean,planner_calls_sem,path_length_mean,path_length_sem
capacity_noise,async_online,10,16,4,small,0.07,balanced,32,0.90625,0.0523514603733822,114.5625,9.021807975856381,9.165000000000001,0.7217446380685104,9.0,0.0,0.08833195573571251,0.004383222975038181,5.40625,0.9835946407635158,0.06171433520420298,0.01163144059519149,27.625,12.294910270042115,0.15023525153886433,0.0478528404998231,0.31050129686716765,0.010856790795756912,10.90625,2.322036515352209,3.46875,0.10024541458421572,5.167376268980769,0.2556741181386993
capacity_noise,async_online,10,16,4,small,0.16,balanced,32,0.90625,0.0523514603733822,115.5,9.021926695020447,9.24,0.7217541356016358,9.0,0.0,0.08764204345330599,0.004398113498105664,5.34375,0.9792292218636108,0.060698596728946015,0.011604489815086274,27.5625,12.298204817528084,0.14921951306360737,0.04790687870406208,0.4276455042336006,0.008271828068484102,11.40625,2.3707982250268205,3.46875,0.10024541458421572,5.205529438563497,0.24629014834887142
latency,async_online,0,16,4,medium,0.055,balanced,32,0.90625,0.0523514603733822,95.84375,9.992346806814767,7.6675,0.7993877445451814,0.0,0.0,0.0,0.0,2.46875,0.19563984664882098,0.032394349041006895,0.0030505011236592844,25.71875,12.963132771051885,0.1218174259640838,0.048605238842827574,0.35773823265538596,0.013976756193694175,5.78125,1.6225070051789725,3.46875,0.10024541458421572,5.126814218701469,0.26570042324073384
latency,async_online,12,16,4,medium,0.055,balanced,32,0.90625,0.0523514603733822,113.71875,8.994087929942216,9.0975,0.7195270343953772,11.0,0.0,0.10863896412611362,0.0053345462079853285,8.6875,1.2814098051402905,0.09601859011793373,0.014551480226398733,30.71875,12.102072134539473,0.18449750578058435,0.04688859601632151,0.33816517622926323,0.013435054746440524,9.21875,2.0526017984853175,3.46875,0.10024541458421572,5.257502940965335,0.2729457041103332
latency,async_online,24,16,4,medium,0.055,balanced,32,0.90625,0.0523514603733822,140.5625,7.675492195523906,11.245000000000001,0.6140393756419124,23.0,0.0,0.17475840452280744,0.006949275093419927,25.8125,1.7833444816755344,0.24187891282510132,0.016922523079972863,46.28125,10.546195841334935,0.3282449465803756,0.038327581439660044,0.3033642381734874,0.010711978350368584,11.03125,1.9891258692677853,3.46875,0.10024541458421572,5.520575991989589,0.2937984387751546
latency,async_online,6,16,4,medium,0.055,balanced,32,0.90625,0.0523514603733822,103.125,9.486168836445426,8.25,0.7588935069156342,5.0,0.0,0.05574368047190852,0.002789802527041536,6.03125,0.7398293926588314,0.07456252890601434,0.00966880393017184,28.625,12.525759747738439,0.16316547008248494,0.04697747527013779,0.3480614262324911,0.013046917405470102,5.5625,1.31748286087891,3.46875,0.10024541458421572,5.2064274778472415,0.2653031089528285
latency,direct_blocking,0,16,4,medium,0.055,balanced,32,0.90625,0.0523514603733822,154.0625,9.709068082169036,12.325,0.776725446573523,10.875,0.6471868404499683,0.07113670794431404,0.00038840352539404137,22.5,1.328957874523517,0.17263079437507323,0.013303592801337718,50.8125,5.344660717527715,0.3358296577049664,0.01847275794863807,1.2084660129680023,0.004429289307734632,13.53125,2.632376109497812,10.875,0.6471868404499683,9.012042982491634,0.5660233429400526
latency,direct_blocking,12,16,4,medium,0.055,balanced,32,0.5,0.08980265101338744,234.28125,6.489481932793124,18.7425,0.51915855462345,109.15625,2.911015430514505,0.466402861272681,0.0012395614867170921,12.3125,1.327012698361588,0.10084928129739795,0.010691424380877612,39.625,3.6021247090231117,0.3053309866780657,0.023643865743000314,1.2252165615643489,0.005627698443052027,31.5625,2.1317196885719194,9.125,0.23653240929133007,10.195951868507162,0.42947396692654805
latency,direct_blocking,24,16,4,medium,0.055,balanced,32,0.125,0.059398870413936426,256.78125,1.802627101129295,20.5425,0.14421016809034365,165.78125,1.23925573967057,0.6455434131781627,0.0004424957979469734,13.375,1.5649577444568539,0.14821974106251073,0.017640725215999853,31.21875,2.234144120149095,0.34217354541033684,0.024000700681621318,1.2282448893965832,0.007284467020723331,44.375,2.8025585948235503,6.9375,0.04347552147751577,7.921778602337065,0.2891422309672952
latency,direct_blocking,6,16,4,medium,0.055,balanced,32,0.75,0.07777137710478188,200.0,8.998207706842727,16.0,0.7198566165474182,61.09375,2.622544694643587,0.30629858998398246,0.001221817614820602,14.84375,1.5989597014984864,0.10884522526495377,0.012270406751570082,44.71875,4.718536365597677,0.29793410062566694,0.02323819009701098,1.233959754888981,0.006579723015386103,22.1875,2.674716407939957,10.25,0.4376439855230689,10.153907070179425,0.4741058729528164
