condition,severity,trial,method,success,tracking_rmse,tail_rmse,final_error,inference_calls,mean_horizon,horizon_std,p10_horizon,p90_horizon,selected_action_error,compute_normalized
clean,1.0,85,attention_entropy,0,0.4078427778160223,0.48922234942250326,0.36420860367968605,13,12.923076923076923,2.0925339244208376,11.0,16.0,2.241087680059267,0.07738095238095238
clean,1.0,85,shuffled_attention,0,1.1798930407646762,1.5232636371060997,1.307543339568852,8,21.0,5.766281297335398,14.0,24.0,0.5208604965353649,0.047619047619047616
clean,1.0,85,oracle_stop,1,0.14980795481771111,0.17722955873982496,0.1781356060394198,36,4.666666666666667,3.4156502553198655,2.0,10.5,0.5342978208464324,0.21428571428571427
clean,1.0,86,fixed_3,1,0.16447684461911286,0.2171690629412761,0.20358047207476698,56,3.0,0.0,3.0,3.0,0.3522761704102929,0.3333333333333333
clean,1.0,86,fixed_6,1,0.22047593244640454,0.3110226828742555,0.23747731301682393,28,6.0,0.0,6.0,6.0,0.5219514747747427,0.16666666666666666
clean,1.0,86,fixed_12,0,0.4133344214583485,0.5128780263142795,0.4310313318409405,14,12.0,0.0,12.0,12.0,1.6101833752576573,0.08333333333333333
clean,1.0,86,fixed_24,0,0.9821184721778179,1.337070627457778,1.2101031103108295,7,24.0,0.0,24.0,24.0,0.8035068158715577,0.041666666666666664
clean,1.0,86,state_error,0,0.7145667184844096,0.429674889100098,0.5345617438940907,14,12.0,6.267831705280087,6.3,22.700000000000003,0.964151797101944,0.08333333333333333
clean,1.0,86,ensemble_uncertainty,0,0.9422355293261092,1.318433950735848,0.3504828778471834,8,21.0,3.774917217635375,16.1,24.0,0.9409678081199411,0.047619047619047616
clean,1.0,86,attention_entropy,1,0.41167709029523875,0.4683891745275498,0.26667820048298596,13,12.923076923076923,2.0925339244208376,11.0,16.0,2.24278166949015,0.07738095238095238
clean,1.0,86,shuffled_attention,0,0.9594445164865344,1.2781540074230084,0.47875006232213485,8,21.0,5.408326913195984,13.200000000000001,24.0,1.0110917698485355,0.047619047619047616
clean,1.0,86,oracle_stop,1,0.15810679485747928,0.18064194516029833,0.19059058008109175,38,4.421052631578948,3.225160778916533,1.0,10.0,0.6217615069333221,0.2261904761904762
clean,1.0,87,fixed_3,1,0.15030057278577783,0.21272891396751625,0.1866149838986981,56,3.0,0.0,3.0,3.0,0.35644316224307787,0.3333333333333333
clean,1.0,87,fixed_6,1,0.2059277940582423,0.2908621785947108,0.2854793021491588,28,6.0,0.0,6.0,6.0,0.5123390379522238,0.16666666666666666
