condition,trial,signal,pearson_action_error,mean_signal,mean_action_error
disturbance,19,state_error,0.5517083081979054,0.3588113681241986,1.0414920513054222
disturbance,19,ensemble_uncertainty,0.776467669780494,0.12891675924610912,1.0414920513054222
disturbance,20,attention_entropy,0.42668636326709103,0.9204733184245996,1.2598927597564158
disturbance,20,state_error,-0.16008525076315236,1.070724007705234,1.2598927597564158
disturbance,20,ensemble_uncertainty,0.3715906755640454,0.18854501602564366,1.2598927597564158
disturbance,21,attention_entropy,0.4148720240796244,0.9174570937255581,1.2085594780577213
disturbance,21,state_error,-0.34896772236655255,0.2943045285405221,1.2085594780577213
disturbance,21,ensemble_uncertainty,0.20389726076574755,0.16895702266593704,1.2085594780577213
disturbance,22,attention_entropy,0.5595717465718575,0.7324806531256094,0.7420412800783555
disturbance,22,state_error,0.7394114332581365,0.15076732555103475,0.7420412800783555
disturbance,22,ensemble_uncertainty,0.5560386635952426,0.08983577804870017,0.7420412800783555
disturbance,23,attention_entropy,0.5899780240992326,0.7319726326948451,0.7339999190423661
disturbance,23,state_error,0.21895184450563684,0.2272380558530576,0.7339999190423661
disturbance,23,ensemble_uncertainty,0.7552222292845487,0.09445458136276456,0.7339999190423661
disturbance,24,attention_entropy,0.5663317539229789,0.732115155392632,0.8577497356307017
disturbance,24,state_error,0.2140558180130048,0.19323799415806597,0.8577497356307017
disturbance,24,ensemble_uncertainty,0.5072155903770129,0.09432910951920831,0.8577497356307017
disturbance,25,attention_entropy,0.4779593076651193,0.8713951982314144,1.0853211539329872
disturbance,25,state_error,-0.2027572917580869,0.2827128505970334,1.0853211539329872
disturbance,25,ensemble_uncertainty,0.38841336676525345,0.1282704391934434,1.0853211539329872
disturbance,26,attention_entropy,0.5728563294512248,0.8694759913657074,0.8904602616530736
disturbance,26,state_error,0.050088426998469986,0.35018131814422127,0.8904602616530736
disturbance,26,ensemble_uncertainty,0.49681493749529365,0.14358475115543165,0.8904602616530736
disturbance,27,attention_entropy,0.7586049578991226,0.8700952800374143,1.4219838838545809
disturbance,27,state_error,0.3667443885592629,0.30117339872067034,1.4219838838545809
disturbance,27,ensemble_uncertainty,0.7628656534910906,0.13184537354552436,1.4219838838545809
disturbance,28,attention_entropy,0.5736209387371403,0.9174570937255581,1.248314346059585
disturbance,28,state_error,0.281596567848262,0.6893117916310114,1.248314346059585
disturbance,28,ensemble_uncertainty,0.5772831489917165,0.16771795649027318,1.248314346059585
disturbance,29,attention_entropy,0.5943427532557785,0.7328054064156744,0.7891231724288752
disturbance,29,state_error,0.44392890599506096,0.6401855159629161,0.7891231724288752
disturbance,29,ensemble_uncertainty,0.702749763790285,0.08906124383318208,0.7891231724288752
disturbance,30,attention_entropy,0.618461219263685,0.7318644872240722,0.8941280160702458
disturbance,30,state_error,0.1185745110903721,0.14504882698975835,0.8941280160702458
disturbance,30,ensemble_uncertainty,0.49669606217251927,0.09074136190124216,0.8941280160702458
disturbance,31,attention_entropy,0.4925637407049866,0.7317040234626043,0.9992009169974012
disturbance,31,state_error,0.3103943142606426,0.20943537893297734,0.9992009169974012
disturbance,31,ensemble_uncertainty,0.7374658521815263,0.09371692380458967,0.9992009169974012
disturbance,32,attention_entropy,0.4646056222015764,0.8722401697593485,1.0465848963190394
disturbance,32,state_error,-0.11975717529343805,0.3926836734183368,1.0465848963190394
disturbance,32,ensemble_uncertainty,0.43081533013873446,0.13853948269839766,1.0465848963190394
disturbance,33,attention_entropy,0.5037457373077229,0.8698644033756037,1.2345106448400722
disturbance,33,state_error,-0.17426108237389704,0.25068816623982193,1.2345106448400722
disturbance,33,ensemble_uncertainty,0.5179906347336578,0.13975861935588943,1.2345106448400722
disturbance,34,attention_entropy,0.7289565557883938,0.8694759913657074,1.4080534023731215
disturbance,34,state_error,0.40865594821968726,0.25664879279673897,1.4080534023731215
disturbance,34,ensemble_uncertainty,0.8242226619213878,0.1416482856075555,1.4080534023731215
disturbance,35,attention_entropy,0.1595565356787553,0.9174570937255581,1.260926290938863
disturbance,35,state_error,-0.151051381450194,0.8783419546875207,1.260926290938863
disturbance,35,ensemble_uncertainty,0.3904707619124947,0.1798400831328971,1.260926290938863
disturbance,36,attention_entropy,0.4463041760935327,0.9174570937255581,1.1805357913984185
disturbance,36,state_error,-0.25695057462286414,0.3010909556870623,1.1805357913984185
disturbance,36,ensemble_uncertainty,0.14887228226395585,0.17959182557865253,1.1805357913984185
disturbance,37,attention_entropy,0.5671701972781885,0.7328038684151997,0.7426744031118618
disturbance,37,state_error,0.32061494804455704,0.18792001946412332,0.7426744031118618
disturbance,37,ensemble_uncertainty,0.6108345012109597,0.09973617672379627,0.7426744031118618
disturbance,38,attention_entropy,0.5377206207649402,0.7317755028998402,0.801266373518383
disturbance,38,state_error,0.2183400643473754,0.20681611646469253,0.801266373518383
disturbance,38,ensemble_uncertainty,0.7250172619129511,0.09485308693105621,0.801266373518383
disturbance,39,attention_entropy,0.7116759046956876,0.7319078669226614,1.143495244754786
disturbance,39,state_error,0.12871159361220266,0.12487733224844129,1.143495244754786
disturbance,39,ensemble_uncertainty,0.5299407119616546,0.08889928973969803,1.143495244754786
distractor,0,attention_entropy,0.6113785859401103,0.7739527534974625,0.8767405741950375
distractor,0,state_error,0.11559910992352018,0.15929937486786533,0.8767405741950375
distractor,0,ensemble_uncertainty,0.5902099019407279,0.09762159042496425,0.8767405741950375
distractor,1,attention_entropy,0.5621449888560377,0.7733690539410879,0.9426491132255119
distractor,1,state_error,0.3122684575938485,0.21617783623480338,0.9426491132255119
distractor,1,ensemble_uncertainty,0.7490453171326554,0.09500966190261917,0.9426491132255119
distractor,2,attention_entropy,0.46727942168710623,0.8911447501885088,1.060716031683371
distractor,2,state_error,-0.1218589963660935,0.37058056979798165,1.060716031683371
