trial,task,method,success,damaged,stuck,steps,final_progress,final_alignment,peak_axial_force,peak_force_norm,force_overshoot,contact_steps,command_energy,action_smoothness
79,fastener,temporal_history,True,False,False,41,1.0,2.0933085587713726e-05,0.9516189680423174,0.9516189680423174,0.009493010634559984,20,0.5475175129289526,0.005056668139645724
79,fastener,force,True,False,False,42,1.0,-2.8531417687375642e-05,0.9522273978083808,0.9522273978083808,0.01010144040062344,20,0.5194137148044518,0.0068101579579002165
79,fastener,mismatched_gripper_force,True,False,False,28,1.0,-0.012701448060850096,0.9621905825873969,0.9621905825873969,0.020064625179639473,9,0.7478619031305165,0.01441748659770219
79,fastener,matched_multimodal_bc,True,False,False,43,1.0,1.1796198269161621e-05,0.9531247942098808,0.9531247942098808,0.010998836802123435,21,0.5263372339725518,0.006235147727839117
80,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
80,fastener,temporal_history,True,False,False,39,1.0,2.1126992619294544e-05,0.9059252173865415,0.9059252173865415,0.026528603643729776,18,0.5251844861374338,0.005294157281990363
80,fastener,force,True,False,False,40,1.0,-2.8531417687375642e-05,0.9024706076937603,0.9024706076937603,0.023073993950948557,18,0.49623607291678995,0.007276567909261148
80,fastener,mismatched_gripper_force,True,False,False,27,1.0,-0.010963530902683098,0.887077022160658,0.887077022160658,0.0076804084178462295,8,0.7303518620886713,0.014627225711135625
80,fastener,matched_multimodal_bc,True,False,False,40,1.0,1.1796198269161621e-05,0.8952016739347741,0.8952016739347741,0.015805060191962372,18,0.4943789710409856,0.006687729967656757
81,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
81,fastener,temporal_history,True,False,False,40,1.0,2.0933085587713726e-05,0.93171741201055,0.93171741201055,0.014972695306890937,19,0.5366573851174956,0.005200967814003773
81,fastener,force,True,False,False,41,1.0,-2.8531417687375642e-05,0.931754447572763,0.931754447572763,0.015009730869103954,19,0.5083495499539686,0.007122217371589068
81,fastener,mismatched_gripper_force,True,False,False,28,1.0,-0.012701448060850096,0.9621905825873969,0.9621905825873969,0.04544586588373778,9,0.7478619031305165,0.01441748659770219
81,fastener,matched_multimodal_bc,True,False,False,42,1.0,1.1796198269161621e-05,0.9367121987177767,0.9367121987177767,0.019967482014117577,20,0.5160782682696746,0.006462141992700522
82,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
82,fastener,temporal_history,False,False,True,64,0.0,2.0933085587713726e-05,0.9915138254955473,0.9915138254955473,0.0,60,0.8175317267660702,0.0029380528809316094
82,fastener,force,False,False,True,64,0.0,-2.8531417687375642e-05,1.0062401147593005,1.0062401147593005,0.0,60,0.8334643031897273,0.002944313015849317
82,fastener,mismatched_gripper_force,True,False,False,30,1.0,-0.0161709348275694,1.036345106891194,1.036345106891194,0.013057075580037658,11,0.7788872124788895,0.013432551665116543
82,fastener,matched_multimodal_bc,False,False,True,64,0.0,1.1796198269161621e-05,0.9928731744586944,0.9928731744586944,0.0,60,0.8162425416913784,0.0029242741556285965
83,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
83,fastener,temporal_history,True,False,False,37,1.0,2.1126992619294544e-05,0.8079498834243675,0.8079498834243675,0.02442117472275873,15,0.48552833435122544,0.005372697471430525
83,fastener,force,True,False,False,38,1.0,-2.8531417687375642e-05,0.8076162291498847,0.8076162291498847,0.024087520448276,15,0.4608093820212775,0.006421810100267047
83,fastener,mismatched_gripper_force,True,False,False,26,1.0,-0.00946093931879021,0.7879208726179716,0.7879208726179716,0.004392163916362879,7,0.7033870401950725,0.015731121115223526
83,fastener,matched_multimodal_bc,True,False,False,38,1.0,1.1796198269161621e-05,0.8075734960023555,0.8075734960023555,0.024044787300746773,15,0.46034726428841566,0.006579749754122472
84,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
84,fastener,temporal_history,True,False,False,43,1.0,2.0933085587713726e-05,0.9731712161669008,0.9731712161669008,0.00325293061611609,22,0.567779867841961,0.004819146228919686
84,fastener,force,True,False,False,44,1.0,-2.8531417687375642e-05,0.9717998364944883,0.9717998364944883,0.0018815509437035693,22,0.5406654654838614,0.00654809263085408
84,fastener,mismatched_gripper_force,True,False,False,29,1.0,-0.014433017669402403,1.006574685807737,1.006574685807737,0.03665640025695216,10,0.7637109062046675,0.013913958974746472
84,fastener,matched_multimodal_bc,True,False,False,45,1.0,1.1796198269161621e-05,0.9724599127838387,0.9724599127838387,0.0025416272330539558,23,0.5466471110589306,0.005958290581604997
85,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
85,fastener,temporal_history,True,False,False,38,1.0,2.1126992619294544e-05,0.8750993215048846,0.8750993215048846,0.027844852506724083,17,0.5130322906633665,0.005373751523674531
85,fastener,force,True,False,False,39,1.0,-2.8531417687375642e-05,0.8728401073341082,0.8728401073341082,0.025585638335947736,17,0.48366274559167394,0.006996239776843809
85,fastener,mismatched_gripper_force,True,False,False,27,1.0,-0.010963530902683098,0.887077022160658,0.887077022160658,0.0398225531624975,8,0.7303518620886713,0.014627225711135625
85,fastener,matched_multimodal_bc,True,False,False,39,1.0,1.1796198269161621e-05,0.8700440146965251,0.8700440146965251,0.022789545698364666,17,0.48320765634597435,0.006679286252074108
86,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
86,fastener,temporal_history,True,False,False,39,1.0,2.1126992619294544e-05,0.9059252173865415,0.9059252173865415,0.01921210104481552,18,0.5251844861374338,0.005294157281990363
86,fastener,force,True,False,False,40,1.0,-2.8531417687375642e-05,0.9024706076937603,0.9024706076937603,0.015757491352034303,18,0.49623607291678995,0.007276567909261148
86,fastener,mismatched_gripper_force,True,False,False,27,1.0,-0.010963530902683098,0.887077022160658,0.887077022160658,0.0003639058189319755,8,0.7303518620886713,0.014627225711135625
86,fastener,matched_multimodal_bc,True,False,False,40,1.0,1.1796198269161621e-05,0.8952016739347741,0.8952016739347741,0.008488557593048118,18,0.4943789710409856,0.006687729967656757
87,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
87,fastener,temporal_history,False,False,True,64,0.0,2.0933085587713726e-05,0.9915138254955473,0.9915138254955473,0.0,60,0.8175317267660702,0.0029380528809316094
87,fastener,force,False,False,True,64,0.0,-2.8531417687375642e-05,1.0062401147593005,1.0062401147593005,0.0,60,0.8334643031897273,0.002944313015849317
87,fastener,mismatched_gripper_force,False,False,True,64,0.0,-0.11966773205309723,1.0797156089790487,1.0797156089790487,0.0,61,1.0157019560390292,0.005231833248674227
87,fastener,matched_multimodal_bc,False,False,True,64,0.0,1.1796198269161621e-05,0.9928731744586944,0.9928731744586944,0.0,60,0.8162425416913784,0.0029242741556285965
88,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
88,fastener,temporal_history,False,False,True,64,0.0,2.0933085587713726e-05,0.9915138254955473,0.9915138254955473,0.0,60,0.8175317267660702,0.0029380528809316094
88,fastener,force,True,False,False,53,1.0,-2.8531417687375642e-05,1.0058439765840836,1.0058439765840836,0.0002255006842679652,31,0.6201879356160059,0.005615418034851104
88,fastener,mismatched_gripper_force,True,False,False,29,1.0,-0.014433017669402403,1.006574685807737,1.006574685807737,0.0009562099079212238,10,0.7637109062046675,0.013913958974746472
88,fastener,matched_multimodal_bc,False,False,True,64,0.0,1.1796198269161621e-05,0.9928731744586944,0.9928731744586944,0.0,60,0.8162425416913784,0.0029242741556285965
89,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
89,fastener,temporal_history,True,False,False,51,1.0,2.0933085587713726e-05,0.9906752763843378,0.9906752763843378,3.391786548490039e-05,30,0.6329280739619826,0.004048082832292536
89,fastener,force,True,False,False,48,1.0,-2.8531417687375642e-05,0.9936588526335794,0.9936588526335794,0.0030174941147265155,26,0.5790211546698731,0.00619282600137931
89,fastener,mismatched_gripper_force,True,False,False,29,1.0,-0.014433017669402403,1.006574685807737,1.006574685807737,0.01593332728888397,10,0.7637109062046675,0.013913958974746472
89,fastener,matched_multimodal_bc,True,False,False,52,1.0,1.1796198269161621e-05,0.991293080832618,0.991293080832618,0.0006517223137650907,30,0.6059023015507206,0.005126639416105157
90,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
90,fastener,temporal_history,True,False,False,36,1.0,2.1126992619294544e-05,0.7702401474548701,0.7702401474548701,0.02386262092337499,14,0.47238827999337396,0.00542312687381957
90,fastener,force,True,False,False,37,1.0,-2.8531417687375642e-05,0.769952155520975,0.769952155520975,0.023574628989479818,14,0.4507250713575067,0.006257353994449385
90,fastener,mismatched_gripper_force,True,False,False,26,1.0,-0.00946093931879021,0.7879208726179716,0.7879208726179716,0.041543346086476474,7,0.7033870401950725,0.015731121115223526
90,fastener,matched_multimodal_bc,True,False,False,37,1.0,1.1796198269161621e-05,0.770091988773776,0.770091988773776,0.02371446224228091,14,0.44959229210856394,0.006613439228361825
91,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
91,fastener,temporal_history,False,False,True,64,0.0,2.0933085587713726e-05,0.9915138254955473,0.9915138254955473,0.0,60,0.8175317267660702,0.0029380528809316094
91,fastener,force,False,False,True,64,0.0,-2.8531417687375642e-05,1.0062401147593005,1.0062401147593005,0.0,60,0.8334643031897273,0.002944313015849317
91,fastener,mismatched_gripper_force,False,False,True,64,0.0,-0.11966773205309723,1.0797156089790487,1.0797156089790487,0.0,61,1.0157019560390292,0.005231833248674227
91,fastener,matched_multimodal_bc,False,False,True,64,0.0,1.1796198269161621e-05,0.9928731744586944,0.9928731744586944,0.0,60,0.8162425416913784,0.0029242741556285965
92,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
92,fastener,temporal_history,True,False,False,41,1.0,2.0933085587713726e-05,0.9516189680423174,0.9516189680423174,0.010697490343032467,20,0.5475175129289526,0.005056668139645724
92,fastener,force,True,False,False,42,1.0,-2.8531417687375642e-05,0.9522273978083808,0.9522273978083808,0.011305920109095924,20,0.5194137148044518,0.0068101579579002165
92,fastener,mismatched_gripper_force,True,False,False,28,1.0,-0.012701448060850096,0.9621905825873969,0.9621905825873969,0.021269104888111956,9,0.7478619031305165,0.01441748659770219
92,fastener,matched_multimodal_bc,True,False,False,43,1.0,1.1796198269161621e-05,0.9531247942098808,0.9531247942098808,0.012203316510595918,21,0.5263372339725518,0.006235147727839117
93,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
93,fastener,temporal_history,True,False,False,38,1.0,2.1126992619294544e-05,0.8750993215048846,0.8750993215048846,0.0042732365955832075,17,0.5130322906633665,0.005373751523674531
93,fastener,force,True,False,False,39,1.0,-2.8531417687375642e-05,0.8728401073341082,0.8728401073341082,0.0020140224248068606,17,0.48366274559167394,0.006996239776843809
93,fastener,mismatched_gripper_force,True,False,False,27,1.0,-0.010963530902683098,0.887077022160658,0.887077022160658,0.016250937251356623,8,0.7303518620886713,0.014627225711135625
93,fastener,matched_multimodal_bc,True,False,False,40,1.0,1.1796198269161621e-05,0.8952016739347741,0.8952016739347741,0.024375589025472766,18,0.4943789710409856,0.006687729967656757
94,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
94,fastener,temporal_history,False,False,True,64,0.0,2.0933085587713726e-05,0.9915138254955473,0.9915138254955473,0.0,60,0.8175317267660702,0.0029380528809316094
94,fastener,force,False,False,True,64,0.0,-2.8531417687375642e-05,1.0062401147593005,1.0062401147593005,0.0,60,0.8334643031897273,0.002944313015849317
94,fastener,mismatched_gripper_force,False,False,True,64,0.0,-0.11966773205309723,1.0797156089790487,1.0797156089790487,0.0,61,1.0157019560390292,0.005231833248674227
94,fastener,matched_multimodal_bc,False,False,True,64,0.0,1.1796198269161621e-05,0.9928731744586944,0.9928731744586944,0.0,60,0.8162425416913784,0.0029242741556285965
95,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
95,fastener,temporal_history,False,False,True,64,0.0,2.0933085587713726e-05,0.9915138254955473,0.9915138254955473,0.0,60,0.8175317267660702,0.0029380528809316094
95,fastener,force,False,False,True,64,0.0,-2.8531417687375642e-05,1.0062401147593005,1.0062401147593005,0.0,60,0.8334643031897273,0.002944313015849317
95,fastener,mismatched_gripper_force,False,False,True,64,0.0,-0.11966773205309723,1.0797156089790487,1.0797156089790487,0.0,61,1.0157019560390292,0.005231833248674227
95,fastener,matched_multimodal_bc,False,False,True,64,0.0,1.1796198269161621e-05,0.9928731744586944,0.9928731744586944,0.0,60,0.8162425416913784,0.0029242741556285965
96,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
96,fastener,temporal_history,False,False,True,64,0.0,2.0933085587713726e-05,0.9915138254955473,0.9915138254955473,0.0,60,0.8175317267660702,0.0029380528809316094
96,fastener,force,False,False,True,64,0.0,-2.8531417687375642e-05,1.0062401147593005,1.0062401147593005,0.0,60,0.8334643031897273,0.002944313015849317
96,fastener,mismatched_gripper_force,True,False,False,32,1.0,-0.019646769143903398,1.0703548359369353,1.0703548359369353,0.004861474772077212,13,0.8065382218727748,0.012590998597903835
