method,split,condition,alias,composition,trial,success,action_rmse,chunk_rmse,final_error,sequence_correct,swapped_success,swapped_action_rmse,prompt_swap_output_shift,prompt_swap_error_increase,prompt_swap_success_drop
ifp_future_chunk,unseen,distractor_mild,0,0-3-1,0,0.0,0.3728645145893097,1.3310099840164185,2.4457342624664307,0.0,0.0,0.8361477255821228,0.6404361128807068,0.4632832109928131,0.0
ifp_shuffled_prompt,unseen,distractor_mild,0,0-3-1,0,0.0,0.8030619621276855,3.1175622940063477,0.8524870872497559,0.0,0.0,0.8030251860618591,0.00712749594822526,-3.6776065826416016e-05,0.0
direct_bc,unseen,distractor_hard,0,0-3-1,0,0.0,0.8602854609489441,3.357316732406616,0.8195067048072815,0.0,0.0,0.8602854609489441,0.0,0.0,0.0
prompt_one_step_bc,unseen,distractor_hard,0,0-3-1,0,0.0,0.23232883214950562,0.832197904586792,1.2542364597320557,1.0,0.0,0.8664728999137878,0.7448334097862244,0.6341440677642822,0.0
ifp_future_chunk,unseen,distractor_hard,0,0-3-1,0,0.0,0.4106175899505615,1.4899489879608154,2.066392660140991,0.0,0.0,0.8745414018630981,0.6654573082923889,0.4639238119125366,0.0
ifp_shuffled_prompt,unseen,distractor_hard,0,0-3-1,0,0.0,0.8628495931625366,3.3622052669525146,0.5886711478233337,0.0,0.0,0.8599553108215332,0.01658666506409645,-0.002894282341003418,0.0
direct_bc,unseen,prompt_corrupt_mild,0,0-3-1,0,0.0,0.8450556993484497,3.2950077056884766,0.8640091419219971,0.0,0.0,0.8450556993484497,0.0,0.0,0.0
prompt_one_step_bc,unseen,prompt_corrupt_mild,0,0-3-1,0,1.0,0.25574150681495667,0.8846494555473328,0.1651374250650406,1.0,0.0,0.8763049840927124,0.6914660930633545,0.6205634772777557,1.0
ifp_future_chunk,unseen,prompt_corrupt_mild,0,0-3-1,0,0.0,0.38212162256240845,1.3577337265014648,1.9533737897872925,0.0,0.0,0.8753149509429932,0.7035576701164246,0.4931933283805847,0.0
ifp_shuffled_prompt,unseen,prompt_corrupt_mild,0,0-3-1,0,0.0,0.8379587531089783,3.262519598007202,0.3568755090236664,0.0,0.0,0.8369398713111877,0.0031614317558705807,-0.0010188817977905273,0.0
direct_bc,unseen,prompt_corrupt_hard,0,0-3-1,0,0.0,0.8413400650024414,3.2737083435058594,0.6652780771255493,0.0,0.0,0.8413400650024414,0.0,0.0,0.0
prompt_one_step_bc,unseen,prompt_corrupt_hard,0,0-3-1,0,0.0,0.2991846799850464,1.1454483270645142,1.818010926246643,1.0,0.0,0.8733972907066345,0.6727529168128967,0.5742126107215881,0.0
ifp_future_chunk,unseen,prompt_corrupt_hard,0,0-3-1,0,0.0,0.46859729290008545,1.7496671676635742,0.8298023343086243,0.0,0.0,0.8784148693084717,0.6000754237174988,0.40981757640838623,0.0
ifp_shuffled_prompt,unseen,prompt_corrupt_hard,0,0-3-1,0,0.0,0.8378664255142212,3.2544198036193848,0.6978970766067505,0.0,0.0,0.8369750380516052,0.004303519614040852,-0.0008913874626159668,0.0
direct_bc,unseen,clean,0,0-3-1,1,0.0,0.8491522073745728,3.3037171363830566,1.1651486158370972,0.0,0.0,0.8491522073745728,0.0,0.0,0.0
prompt_one_step_bc,unseen,clean,0,0-3-1,1,1.0,0.2947632372379303,1.0828152894973755,0.7134271860122681,1.0,0.0,0.8560737371444702,0.6130183339118958,0.5613104999065399,1.0
ifp_future_chunk,unseen,clean,0,0-3-1,1,0.0,0.4917971193790436,1.82968270778656,2.4579198360443115,0.0,0.0,0.8630454540252686,0.5319994688034058,0.371248334646225,0.0
ifp_shuffled_prompt,unseen,clean,0,0-3-1,1,0.0,0.842908501625061,3.2736763954162598,0.08077514916658401,0.0,0.0,0.846269428730011,0.005071969237178564,0.003360927104949951,0.0
direct_bc,unseen,distractor_mild,0,0-3-1,1,0.0,0.9008643627166748,3.5016562938690186,0.7652063369750977,0.0,0.0,0.9008643627166748,0.0,0.0,0.0
prompt_one_step_bc,unseen,distractor_mild,0,0-3-1,1,1.0,0.28029730916023254,1.0213230848312378,0.782994270324707,1.0,0.0,0.9289200901985168,0.6978652477264404,0.6486227810382843,1.0
ifp_future_chunk,unseen,distractor_mild,0,0-3-1,1,0.0,0.4221440553665161,1.504180669784546,1.8987799882888794,0.0,0.0,0.9011260271072388,0.6348413228988647,0.47898197174072266,0.0
ifp_shuffled_prompt,unseen,distractor_mild,0,0-3-1,1,0.0,0.8962703347206116,3.4789695739746094,0.6710510849952698,0.0,0.0,0.8983643054962158,0.005422103684395552,0.002093970775604248,0.0
direct_bc,unseen,distractor_hard,0,0-3-1,1,0.0,0.8894177675247192,3.4629948139190674,0.7832983136177063,0.0,0.0,0.8894177675247192,0.0,0.0,0.0
prompt_one_step_bc,unseen,distractor_hard,0,0-3-1,1,0.0,0.30147671699523926,1.0987292528152466,1.3561102151870728,1.0,0.0,0.9259737133979797,0.6980341076850891,0.6244969964027405,0.0
ifp_future_chunk,unseen,distractor_hard,0,0-3-1,1,0.0,0.4437457323074341,1.608903408050537,2.0661802291870117,0.0,0.0,0.9110641479492188,0.6546282768249512,0.46731841564178467,0.0
ifp_shuffled_prompt,unseen,distractor_hard,0,0-3-1,1,0.0,0.885317862033844,3.441767692565918,0.5457445979118347,0.0,0.0,0.8855106830596924,0.013700636103749275,0.00019282102584838867,0.0
direct_bc,unseen,prompt_corrupt_mild,0,0-3-1,1,0.0,0.8899580240249634,3.467111587524414,1.0372034311294556,0.0,0.0,0.8899580240249634,0.0,0.0,0.0
prompt_one_step_bc,unseen,prompt_corrupt_mild,0,0-3-1,1,0.0,0.369281142950058,1.419600486755371,1.2651926279067993,0.0,0.0,0.9014930725097656,0.6130833625793457,0.5322119295597076,0.0
ifp_future_chunk,unseen,prompt_corrupt_mild,0,0-3-1,1,0.0,0.5608117580413818,2.1436824798583984,2.809061288833618,0.0,0.0,0.9068015217781067,0.5166993141174316,0.34598976373672485,0.0
ifp_shuffled_prompt,unseen,prompt_corrupt_mild,0,0-3-1,1,0.0,0.8853093385696411,3.4430060386657715,0.223711758852005,0.0,0.0,0.8860374093055725,0.006542510353028774,0.0007280707359313965,0.0
direct_bc,unseen,prompt_corrupt_hard,0,0-3-1,1,0.0,0.9171510934829712,3.5736870765686035,0.9327237010002136,0.0,0.0,0.9171510934829712,0.0,0.0,0.0
prompt_one_step_bc,unseen,prompt_corrupt_hard,0,0-3-1,1,0.0,0.5680432915687561,2.2108640670776367,2.4252941608428955,0.0,0.0,0.9015101790428162,0.47891247272491455,0.33346688747406006,0.0
ifp_future_chunk,unseen,prompt_corrupt_hard,0,0-3-1,1,0.0,0.6765099167823792,2.603780746459961,1.630153775215149,0.0,0.0,0.9023858904838562,0.3405301868915558,0.22587597370147705,0.0
ifp_shuffled_prompt,unseen,prompt_corrupt_hard,0,0-3-1,1,0.0,0.9149572253227234,3.5595624446868896,0.4892544150352478,0.0,0.0,0.9187597632408142,0.008337229490280151,0.0038025379180908203,0.0
direct_bc,unseen,clean,1,1-4-2,0,0.0,0.824052095413208,3.204237699508667,0.858259379863739,0.0,0.0,0.824052095413208,0.0,0.0,0.0
prompt_one_step_bc,unseen,clean,1,1-4-2,0,0.0,0.2563492953777313,0.9798979759216309,1.192137360572815,1.0,0.0,0.8211034536361694,0.6589757204055786,0.5647541582584381,0.0
ifp_future_chunk,unseen,clean,1,1-4-2,0,0.0,0.36520498991012573,1.3015819787979126,1.2440699338912964,0.0,0.0,0.8334679007530212,0.6582471132278442,0.4682629108428955,0.0
ifp_shuffled_prompt,unseen,clean,1,1-4-2,0,0.0,0.8365326523780823,3.2565295696258545,0.6800165176391602,0.0,0.0,0.8359230160713196,0.005511810537427664,-0.0006096363067626953,0.0
direct_bc,unseen,distractor_mild,1,1-4-2,0,0.0,0.9266756176948547,3.6128463745117188,0.26833367347717285,0.0,0.0,0.9266756176948547,0.0,0.0,0.0
