method,split,condition,alias,composition,trial,success,action_rmse,chunk_rmse,final_error,sequence_correct,swapped_success,swapped_action_rmse,prompt_swap_output_shift,prompt_swap_error_increase,prompt_swap_success_drop
prompt_one_step_bc,seen,clean,0,0-1-3,6,1.0,0.022472979500889778,0.0633767619729042,0.11269791424274445,1.0,1.0,0.026176996529102325,0.025530150160193443,0.0037040170282125473,0.0
ifp_future_chunk,seen,clean,0,0-1-3,6,1.0,0.02737828530371189,0.07812391966581345,0.20472241938114166,1.0,1.0,0.024964161217212677,0.031861454248428345,-0.002414124086499214,0.0
ifp_shuffled_prompt,seen,clean,0,0-1-3,6,1.0,0.036839526146650314,0.1287180632352829,0.2722213864326477,1.0,1.0,0.037193603813648224,0.0014164962340146303,0.00035407766699790955,0.0
direct_bc,seen,distractor_mild,0,0-1-3,6,1.0,0.028431551530957222,0.08346948772668839,0.2577294707298279,1.0,1.0,0.028431551530957222,0.0,0.0,0.0
prompt_one_step_bc,seen,distractor_mild,0,0-1-3,6,1.0,0.021655429154634476,0.06469309329986572,0.03442247211933136,1.0,1.0,0.06319853663444519,0.07263431698083878,0.041543107479810715,0.0
ifp_future_chunk,seen,distractor_mild,0,0-1-3,6,1.0,0.022614512592554092,0.07097528874874115,0.19867797195911407,1.0,1.0,0.07580629736185074,0.07158913463354111,0.053191784769296646,0.0
ifp_shuffled_prompt,seen,distractor_mild,0,0-1-3,6,1.0,0.0352376364171505,0.12335187196731567,0.483530193567276,1.0,1.0,0.03537151217460632,0.001449861447326839,0.0001338757574558258,0.0
direct_bc,seen,distractor_hard,0,0-1-3,6,1.0,0.034181468188762665,0.11640819907188416,0.17956750094890594,1.0,1.0,0.034181468188762665,0.0,0.0,0.0
prompt_one_step_bc,seen,distractor_hard,0,0-1-3,6,1.0,0.029915688559412956,0.06851857900619507,0.10323537141084671,1.0,1.0,0.03377006575465202,0.04555070400238037,0.003854377195239067,0.0
ifp_future_chunk,seen,distractor_hard,0,0-1-3,6,1.0,0.02941502444446087,0.09360751509666443,0.33124345541000366,1.0,1.0,0.04615258425474167,0.03143706172704697,0.0167375598102808,0.0
ifp_shuffled_prompt,seen,distractor_hard,0,0-1-3,6,1.0,0.03654276207089424,0.13508562743663788,0.3179832100868225,1.0,1.0,0.03652893751859665,0.0024116705171763897,-1.3824552297592163e-05,0.0
direct_bc,seen,prompt_corrupt_mild,0,0-1-3,6,1.0,0.05413397401571274,0.19379860162734985,0.2885245680809021,1.0,1.0,0.05413397401571274,0.0,0.0,0.0
